domain,color_hex,color_name,description
numbers,#FF4500,Orange Red,Universal mathematical concepts
family_kinship,#DC143C,Crimson,Confucian family hierarchy
abstract_qualities,#9932CC,Dark Orchid,Traditional wisdom concepts
nature_elements,#228B22,Forest Green,Five Elements + natural phenomena
body_parts,#CD853F,Peru,Universal human anatomy
animals,#D2691E,Chocolate,Cultural symbols + universal animals
colors,#FF69B4,Hot Pink,Cultural color meanings
emotions,#4169E1,Royal Blue,Universal human emotions
time_temporal,#8A2BE2,Blue Violet,Time concepts and seasons
food,#FF6347,Tomato,Cultural cuisine and staples
actions_verbs,#32CD32,Lime Green,Universal human actions
spatial_directional,#6495ED,Cornflower Blue,Directional and spatial concepts
