word,domain,type,note
ا,arabic_letters,letter,alif - first letter
ب,arabic_letters,letter,ba - second letter
ت,arabic_letters,letter,ta - third letter
ث,arabic_letters,letter,tha - fourth letter
ج,arabic_letters,letter,jim - fifth letter
ح,arabic_letters,letter,ha - sixth letter
خ,arabic_letters,letter,kha - seventh letter
د,arabic_letters,letter,dal - eighth letter
ذ,arabic_letters,letter,dhal - ninth letter
ر,arabic_letters,letter,ra - tenth letter
ز,arabic_letters,letter,zayn - eleventh letter
س,arabic_letters,letter,sin - twelfth letter
ش,arabic_letters,letter,shin - thirteenth letter
ص,arabic_letters,letter,sad - fourteenth letter
ض,arabic_letters,letter,dad - fifteenth letter
ط,arabic_letters,letter,ta - sixteenth letter
ظ,arabic_letters,letter,za - seventeenth letter
ع,arabic_letters,letter,ayn - eighteenth letter
غ,arabic_letters,letter,ghayn - nineteenth letter
ف,arabic_letters,letter,fa - twentieth letter
ق,arabic_letters,letter,qaf - twenty-first letter
ك,arabic_letters,letter,kaf - twenty-second letter
ل,arabic_letters,letter,lam - twenty-third letter
م,arabic_letters,letter,mim - twenty-fourth letter
ن,arabic_letters,letter,nun - twenty-fifth letter
ه,arabic_letters,letter,ha - twenty-sixth letter
و,arabic_letters,letter,waw - twenty-seventh letter
ي,arabic_letters,letter,ya - twenty-eighth letter
