word,domain,type,note
亢,elemental_chars,radical,high radical
卜,elemental_chars,radical,divination radical
奂,elemental_chars,radical,change radical
聿,elemental_chars,radical,brush radical
乂,elemental_chars,radical,mow radical
曰,elemental_chars,radical,say radical
爻,elemental_chars,radical,lines radical
幷,elemental_chars,radical,side by side
门,elemental_chars,radical,gate radical variant
耒,elemental_chars,radical,plow radical
舛,elemental_chars,radical,oppose radical
臼,elemental_chars,radical,mortar radical
孚,elemental_chars,radical,trust radical
艹,elemental_chars,radical,grass radical variant
兀,elemental_chars,radical,stand radical
刍,elemental_chars,radical,hay radical
#厶,radicals_pure,radical,private radical
#氵,radicals_pure,radical,water radical variant
#乀,radicals_pure,radical,second stroke
#礻,radicals_pure,radical,spirit radical variant
#㔾,radicals_pure,radical,variant radical
#禸,radicals_pure,radical,track radical
#亅,radicals_pure,radical,hook stroke
#朩,radicals_pure,radical,tree radical variant
#丨,radicals_pure,radical,vertical line
#虍,radicals_pure,radical,tiger radical variant
#罓,radicals_pure,radical,net radical variant
#忄,radicals_pure,radical,heart radical variant
#佥,radicals_pure,radical,all radical
#攵,radicals_pure,radical,tap radical variant
#疋,radicals_pure,radical,foot radical
#⺧,radicals_pure,radical,heart radical variant
#饣,radicals_pure,radical,food radical variant
#刂,radicals_pure,radical,knife radical variant
#旡,radicals_pure,radical,choke radical
#彡,radicals_pure,radical,bristle radical
#肙,radicals_pure,radical,meat radical variant
#耂,radicals_pure,radical,old radical
#乛,radicals_pure,radical,second hook
#癶,radicals_pure,radical,dotted tent
#灬,radicals_pure,radical,fire radical variant
#乁,radicals_pure,radical,first hook
#爫,radicals_pure,radical,claw radical
#呙,radicals_pure,radical,breathe radical
#钅,radicals_pure,radical,metal radical variant
#匚,radicals_pure,radical,box radical
#巛,radicals_pure,radical,river radical variant
#爿,radicals_pure,radical,split wood
#㕻,radicals_pure,radical,variant radical
#扌,radicals_pure,radical,hand radical variant
#⺮,radicals_pure,radical,bamboo radical variant
#夆,radicals_pure,radical,peak radical
#囟,radicals_pure,radical,fontanelle radical
#⺩,radicals_pure,radical,king radical variant
#畐,radicals_pure,radical,full radical
#尢,radicals_pure,radical,lame radical
#亻,radicals_pure,radical,person radical variant
#匸,radicals_pure,radical,hide radical
#⺀,radicals_pure,radical,second radical variant
#衤,radicals_pure,radical,clothing radical variant
#⺍,radicals_pure,radical,grass radical variant
#彐,radicals_pure,radical,snout radical
#坙,radicals_pure,radical,earth radical variant
#豸,radicals_pure,radical,badger radical
#屰,radicals_pure,radical,go radical
#廴,radicals_pure,radical,long stride
#戋,radicals_pure,radical,narrow radical
#丷,radicals_pure,radical,eight radical variant
#黾,radicals_pure,radical,frog radical
#疒,radicals_pure,radical,sickness radical
#冂,radicals_pure,radical,wide radical
#夂,radicals_pure,radical,go radical variant
#⺁,radicals_pure,radical,ice radical variant
#凵,radicals_pure,radical,receptacle radical
#阝,radicals_pure,radical,mound radical
#攴,radicals_pure,radical,tap radical
#丬,radicals_pure,radical,half tree trunk
#辶,radicals_pure,radical,walk radical variant
#彑,radicals_pure,radical,pig head
#勹,radicals_pure,radical,wrap radical
#夊,radicals_pure,radical,go radical variant
#覀,radicals_pure,radical,west radical variant
#⺌,radicals_pure,radical,small radical variant
#罒,radicals_pure,radical,net radical
#牜,radicals_pure,radical,ox radical variant
#𤴔,radicals_pure,radical,field radical variant
#冖,radicals_pure,radical,cover radical
#⺶,radicals_pure,radical,sheep radical variant
#冫,radicals_pure,radical,ice radical
#㐬,radicals_pure,radical,flow radical
#宀,radicals_pure,radical,roof radical
#彳,radicals_pure,radical,step radical
#⻏,radicals_pure,radical,city radical variant
#讠,radicals_pure,radical,speech radical variant
#龴,radicals_pure,radical,flute radical
#氺,radicals_pure,radical,water radical variant
#亠,radicals_pure,radical,lid radical
#丿,radicals_pure,radical,slash stroke
#殳,radicals_pure,radical,weapon radical
#⺪,radicals_pure,radical,moon radical variant
#豕,radicals_pure,radical,pig radical
#隹,radicals_pure,radical,short-tailed bird
#卩,radicals_pure,radical,seal radical
#廾,radicals_pure,radical,arch radical
#乚,radicals_pure,radical,second turning
#犭,radicals_pure,radical,dog radical variant
#纟,radicals_pure,radical,silk radical variant
#龺,radicals_pure,radical,labor radical
#丶,radicals_pure,radical,dot stroke
#屮,radicals_pure,radical,sprout radical
#⺷,radicals_pure,radical,sheep radical variant
#亍,radicals_pure,radical,step radical variant
一,elemental_chars,character,one - number and horizontal stroke
乙,elemental_chars,character,second - cyclical sign
二,elemental_chars,character,two - number
人,elemental_chars,character,person - human being
儿,elemental_chars,character,child - young person
入,elemental_chars,character,enter - to go in
八,elemental_chars,character,eight - number
几,elemental_chars,character,few - small table
刁,elemental_chars,character,sly - cunning
刀,elemental_chars,character,knife - blade
乃,elemental_chars,character,then - therefore
力,elemental_chars,character,power - strength
丁,elemental_chars,character,fourth - male adult
了,elemental_chars,character,finish - complete
匕,elemental_chars,character,spoon - dagger
十,elemental_chars,character,ten - number
九,elemental_chars,character,nine - number
七,elemental_chars,character,seven - number
厂,elemental_chars,character,factory - cliff
又,elemental_chars,character,again - also
乡,elemental_chars,character,village - hometown
已,elemental_chars,character,already - finished
飞,elemental_chars,character,fly - soar
马,elemental_chars,character,horse - animal
三,elemental_chars,character,three - number
丸,elemental_chars,character,pill - round
才,elemental_chars,character,talent - ability
习,elemental_chars,character,practice - learn
勺,elemental_chars,character,spoon - ladle
刃,elemental_chars,character,blade - edge
叉,elemental_chars,character,fork - branch
乞,elemental_chars,character,beg - request
千,elemental_chars,character,thousand - number
万,elemental_chars,character,ten thousand - myriad
下,elemental_chars,character,below - down
上,elemental_chars,character,above - up
亡,elemental_chars,character,death - flee
亏,elemental_chars,character,loss - deficit
久,elemental_chars,character,long time - endure
丈,elemental_chars,character,zhang - measure
于,elemental_chars,character,at - in
口,elemental_chars,character,mouth - opening
也,elemental_chars,character,also - particle
及,elemental_chars,character,reach - and
囗,elemental_chars,character,enclosure - surround
个,elemental_chars,character,individual - classifier
之,elemental_chars,character,of - particle
土,elemental_chars,character,earth - soil
与,elemental_chars,character,give - and
义,elemental_chars,character,justice - meaning
士,elemental_chars,character,scholar - gentleman
夕,elemental_chars,character,evening - sunset
大,elemental_chars,character,big - large
女,elemental_chars,character,woman - female
子,elemental_chars,character,child - son
寸,elemental_chars,character,inch - measure
小,elemental_chars,character,small - little
尸,elemental_chars,character,corpse - body
山,elemental_chars,character,mountain - hill
川,elemental_chars,character,river - stream
工,elemental_chars,character,work - labor
己,elemental_chars,character,self - oneself
巾,elemental_chars,character,towel - cloth
干,elemental_chars,character,dry - stem
幺,elemental_chars,character,tiny - small
广,elemental_chars,character,broad - wide
弋,elemental_chars,character,shoot - hunt
弓,elemental_chars,character,bow - arch
么,elemental_chars,character,what - tiny
毛,elemental_chars,character,hair - fur
氏,elemental_chars,character,clan - family
气,elemental_chars,character,air - gas
水,elemental_chars,character,water - liquid
火,elemental_chars,character,fire - flame
爪,elemental_chars,character,claw - nail
父,elemental_chars,character,father - dad
片,elemental_chars,character,slice - piece
牙,elemental_chars,character,tooth - fang
牛,elemental_chars,character,cow - ox
犬,elemental_chars,character,dog - canine
王,elemental_chars,character,king - ruler
瓦,elemental_chars,character,tile - pottery
月,elemental_chars,character,moon - month
见,elemental_chars,character,see - view
贝,elemental_chars,character,shell - treasure
车,elemental_chars,character,vehicle - cart
长,elemental_chars,character,long - grow
韦,elemental_chars,character,leather - tanned hide
风,elemental_chars,character,wind - breeze
斥,elemental_chars,character,scold - reject
云,elemental_chars,character,cloud - sky
天,elemental_chars,character,heaven - sky
冈,elemental_chars,character,ridge - hill
井,elemental_chars,character,well - pit
丰,elemental_chars,character,abundant - rich
夫,elemental_chars,character,husband - man
仓,elemental_chars,character,warehouse - granary
勾,elemental_chars,character,hook - catch
公,elemental_chars,character,public - male
区,elemental_chars,character,district - area
友,elemental_chars,character,friend - companion
匀,elemental_chars,character,even - uniform
元,elemental_chars,character,origin - first
六,elemental_chars,character,six - number
五,elemental_chars,character,five - number
今,elemental_chars,character,now - today
中,elemental_chars,character,middle - center
内,elemental_chars,character,inside - within
午,elemental_chars,character,noon - horse hour
分,elemental_chars,character,divide - minute
丑,elemental_chars,character,ugly - ox hour
少,elemental_chars,character,few - young
不,elemental_chars,character,not - no
巨,elemental_chars,character,huge - giant
勿,elemental_chars,character,do not - must not
凶,elemental_chars,character,fierce - bad luck
升,elemental_chars,character,rise - liter
太,elemental_chars,character,too - very
为,elemental_chars,character,act - be
尺,elemental_chars,character,ruler - foot
匹,elemental_chars,character,bolt - horse
乌,elemental_chars,character,crow - black
介,elemental_chars,character,between - shell
屯,elemental_chars,character,station - village
巴,elemental_chars,character,cling - hope
尤,elemental_chars,character,especially - fault
专,elemental_chars,character,special - expert
以,elemental_chars,character,use - by means of
开,elemental_chars,character,open - start
办,elemental_chars,character,handle - do
毋,elemental_chars,character,do not - mother
心,elemental_chars,character,heart - mind
戈,elemental_chars,character,spear - weapon
户,elemental_chars,character,door - household
戶,elemental_chars,character,household - door
手,elemental_chars,character,hand - manual
支,elemental_chars,character,branch - support
文,elemental_chars,character,culture - writing
斗,elemental_chars,character,fight - dipper
斤,elemental_chars,character,axe - catty
方,elemental_chars,character,square - direction
无,elemental_chars,character,nothing - without
日,elemental_chars,character,sun - day
木,elemental_chars,character,wood - tree
欠,elemental_chars,character,owe - lack
止,elemental_chars,character,stop - foot
歹,elemental_chars,character,bad - evil
比,elemental_chars,character,compare - ratio
玄,elemental_chars,character,dark - mysterious
玉,elemental_chars,character,jade - gem
瓜,elemental_chars,character,melon - gourd
甘,elemental_chars,character,sweet - willing
生,elemental_chars,character,life - birth
用,elemental_chars,character,use - employ
田,elemental_chars,character,field - farm
白,elemental_chars,character,white - bright
皮,elemental_chars,character,skin - leather
皿,elemental_chars,character,dish - vessel
目,elemental_chars,character,eye - look
矛,elemental_chars,character,spear - lance
矢,elemental_chars,character,arrow - dart
石,elemental_chars,character,stone - rock
示,elemental_chars,character,show - reveal
禾,elemental_chars,character,grain - cereal
穴,elemental_chars,character,hole - cave
立,elemental_chars,character,stand - establish
鸟,elemental_chars,character,bird - avian
龙,elemental_chars,character,dragon - emperor
且,elemental_chars,character,moreover - and
旦,elemental_chars,character,dawn - morning
电,elemental_chars,character,electricity - lightning
本,elemental_chars,character,root - origin
兄,elemental_chars,character,elder brother - senior
头,elemental_chars,character,head - top
布,elemental_chars,character,cloth - spread
乐,elemental_chars,character,music - joy
令,elemental_chars,character,order - command
台,elemental_chars,character,platform - stage
包,elemental_chars,character,wrap - bag
术,elemental_chars,character,art - technique
业,elemental_chars,character,industry - karma
市,elemental_chars,character,market - city
击,elemental_chars,character,strike - hit
四,elemental_chars,character,four - number
古,elemental_chars,character,ancient - old
央,elemental_chars,character,center - middle
北,elemental_chars,character,north - northern
东,elemental_chars,character,east - eastern
冬,elemental_chars,character,winter - cold
由,elemental_chars,character,from - reason
出,elemental_chars,character,exit - out
失,elemental_chars,character,lose - mistake
申,elemental_chars,character,extend - state
正,elemental_chars,character,correct - right
半,elemental_chars,character,half - semi
宁,elemental_chars,character,rather - peaceful
平,elemental_chars,character,flat - peace
未,elemental_chars,character,not yet - eighth
末,elemental_chars,character,end - tip
只,elemental_chars,character,only - single
丘,elemental_chars,character,hill - mound
占,elemental_chars,character,occupy - divine
句,elemental_chars,character,sentence - phrase
必,elemental_chars,character,must - certainly
可,elemental_chars,character,can - may
去,elemental_chars,character,go - depart
乍,elemental_chars,character,suddenly - first time
并,elemental_chars,character,combine - and
它,elemental_chars,character,it - other
甲,elemental_chars,character,armor - first
丙,elemental_chars,character,third - fire
尼,elemental_chars,character,nun - near
乎,elemental_chars,character,in - question particle
兰,elemental_chars,character,orchid - elegant
卡,elemental_chars,character,card - stuck
另,elemental_chars,character,other - separate
母,elemental_chars,character,mother - female
竹,elemental_chars,character,bamboo - hollow
米,elemental_chars,character,rice - grain
糸,elemental_chars,character,silk - thread
缶,elemental_chars,character,jar - pottery
网,elemental_chars,character,net - network
羊,elemental_chars,character,sheep - goat
羽,elemental_chars,character,feather - wing
而,elemental_chars,character,and - while
耳,elemental_chars,character,ear - hearing
肉,elemental_chars,character,meat - flesh
臣,elemental_chars,character,minister - subject
自,elemental_chars,character,self - from
至,elemental_chars,character,reach - arrive
舌,elemental_chars,character,tongue - language
舟,elemental_chars,character,boat - vessel
艮,elemental_chars,character,stubborn - northeast
色,elemental_chars,character,color - appearance
虫,elemental_chars,character,insect - worm
血,elemental_chars,character,blood - bleeding
行,elemental_chars,character,walk -行
衣,elemental_chars,character,clothes - garment
西,elemental_chars,character,west - western
页,elemental_chars,character,page - leaf
齐,elemental_chars,character,neat - even
共,elemental_chars,character,together - common
曲,elemental_chars,character,song - curve
庄,elemental_chars,character,village - solemn
向,elemental_chars,character,towards - direction
交,elemental_chars,character,exchange - cross
吉,elemental_chars,character,lucky - auspicious
各,elemental_chars,character,each - every
合,elemental_chars,character,combine - together
尧,elemental_chars,character,Yao - high
吕,elemental_chars,character,Lu - backbone
式,elemental_chars,character,style - formula
寺,elemental_chars,character,temple - monastery
角,elemental_chars,character,horn - corner
言,elemental_chars,character,speech - word
谷,elemental_chars,character,valley - grain
豆,elemental_chars,character,bean - vessel
赤,elemental_chars,character,red - bare
走,elemental_chars,character,walk - run
足,elemental_chars,character,foot - sufficient
身,elemental_chars,character,body - oneself
辛,elemental_chars,character,bitter - hard
辰,elemental_chars,character,morning - dragon hour
邑,elemental_chars,character,city - settlement
#酉,elemental_chars,character,wine - rooster hour
釆,elemental_chars,character,distinguish - separate
里,elemental_chars,character,inside - mile
卤,elemental_chars,character,salt - brine
麦,elemental_chars,character,wheat - barley
龟,elemental_chars,character,turtle - tortoise
员,elemental_chars,character,member - staff
良,elemental_chars,character,good - favorable
甫,elemental_chars,character,just - begin
東,elemental_chars,character,east - traditional
金,elemental_chars,character,metal - gold
阜,elemental_chars,character,mound - abundant
隶,elemental_chars,character,servant - clerical
雨,elemental_chars,character,rain - precipitation
青,elemental_chars,character,blue - green
非,elemental_chars,character,not - wrong
鱼,elemental_chars,character,fish - aquatic
齿,elemental_chars,character,tooth - dental
易,elemental_chars,character,easy - change
其,elemental_chars,character,its - that
尚,elemental_chars,character,still - esteem
奉,elemental_chars,character,offer - serve
责,elemental_chars,character,duty - blame
面,elemental_chars,character,face - surface
革,elemental_chars,character,leather - revolution
韭,elemental_chars,character,leek - chive
音,elemental_chars,character,sound - music
食,elemental_chars,character,food - eat
首,elemental_chars,character,head - first
香,elemental_chars,character,fragrant - incense
骨,elemental_chars,character,bone - skeleton
鬼,elemental_chars,character,ghost - spirit
咸,elemental_chars,character,salty - all
柬,elemental_chars,character,Cambodia - select
畏,elemental_chars,character,fear - awe
