word,domain,type,note
א,hebrew_letters,letter,alef - first letter
ב,hebrew_letters,letter,bet - second letter
ג,hebrew_letters,letter,gimel - third letter
ד,hebrew_letters,letter,dalet - fourth letter
ה,hebrew_letters,letter,he - fifth letter
ו,hebrew_letters,letter,vav - sixth letter
ז,hebrew_letters,letter,zayin - seventh letter
ח,hebrew_letters,letter,het - eighth letter
ט,hebrew_letters,letter,tet - ninth letter
י,hebrew_letters,letter,yod - tenth letter
כ,hebrew_letters,letter,kaf - eleventh letter
ל,hebrew_letters,letter,lamed - twelfth letter
מ,hebrew_letters,letter,mem - thirteenth letter
נ,hebrew_letters,letter,nun - fourteenth letter
ס,hebrew_letters,letter,samekh - fifteenth letter
ע,hebrew_letters,letter,ayin - sixteenth letter
פ,hebrew_letters,letter,pe - seventeenth letter
צ,hebrew_letters,letter,tsadi - eighteenth letter
ק,hebrew_letters,letter,qof - nineteenth letter
ר,hebrew_letters,letter,resh - twentieth letter
ש,hebrew_letters,letter,shin - twenty-first letter
ת,hebrew_letters,letter,tav - twenty-second letter
