word,domain,type,note
あ,hiragana_letters,letter,a - hiragana
い,hiragana_letters,letter,i - hiragana
う,hiragana_letters,letter,u - hiragana
え,hiragana_letters,letter,e - hiragana
お,hiragana_letters,letter,o - hiragana
か,hiragana_letters,letter,ka - hiragana
き,hiragana_letters,letter,ki - hiragana
く,hiragana_letters,letter,ku - hiragana
け,hiragana_letters,letter,ke - hiragana
こ,hiragana_letters,letter,ko - hiragana
さ,hiragana_letters,letter,sa - hiragana
し,hiragana_letters,letter,shi - hiragana
す,hiragana_letters,letter,su - hiragana
せ,hiragana_letters,letter,se - hiragana
そ,hiragana_letters,letter,so - hiragana
た,hiragana_letters,letter,ta - hiragana
ち,hiragana_letters,letter,chi - hiragana
つ,hiragana_letters,letter,tsu - hiragana
て,hiragana_letters,letter,te - hiragana
と,hiragana_letters,letter,to - hiragana
な,hiragana_letters,letter,na - hiragana
に,hiragana_letters,letter,ni - hiragana
ぬ,hiragana_letters,letter,nu - hiragana
ね,hiragana_letters,letter,ne - hiragana
の,hiragana_letters,letter,no - hiragana
は,hiragana_letters,letter,ha - hiragana
ひ,hiragana_letters,letter,hi - hiragana
ふ,hiragana_letters,letter,fu - hiragana
へ,hiragana_letters,letter,he - hiragana
ほ,hiragana_letters,letter,ho - hiragana
ま,hiragana_letters,letter,ma - hiragana
み,hiragana_letters,letter,mi - hiragana
む,hiragana_letters,letter,mu - hiragana
め,hiragana_letters,letter,me - hiragana
も,hiragana_letters,letter,mo - hiragana
や,hiragana_letters,letter,ya - hiragana
ゆ,hiragana_letters,letter,yu - hiragana
よ,hiragana_letters,letter,yo - hiragana
ら,hiragana_letters,letter,ra - hiragana
り,hiragana_letters,letter,ri - hiragana
る,hiragana_letters,letter,ru - hiragana
れ,hiragana_letters,letter,re - hiragana
ろ,hiragana_letters,letter,ro - hiragana
わ,hiragana_letters,letter,wa - hiragana
ん,hiragana_letters,letter,n - hiragana
ア,katakana_letters,letter,a - katakana
イ,katakana_letters,letter,i - katakana
ウ,katakana_letters,letter,u - katakana
エ,katakana_letters,letter,e - katakana
オ,katakana_letters,letter,o - katakana
カ,katakana_letters,letter,ka - katakana
キ,katakana_letters,letter,ki - katakana
ク,katakana_letters,letter,ku - katakana
ケ,katakana_letters,letter,ke - katakana
コ,katakana_letters,letter,ko - katakana
サ,katakana_letters,letter,sa - katakana
シ,katakana_letters,letter,shi - katakana
ス,katakana_letters,letter,su - katakana
セ,katakana_letters,letter,se - katakana
ソ,katakana_letters,letter,so - katakana
タ,katakana_letters,letter,ta - katakana
チ,katakana_letters,letter,chi - katakana
ツ,katakana_letters,letter,tsu - katakana
テ,katakana_letters,letter,te - katakana
ト,katakana_letters,letter,to - katakana
ナ,katakana_letters,letter,na - katakana
ニ,katakana_letters,letter,ni - katakana
ヌ,katakana_letters,letter,nu - katakana
ネ,katakana_letters,letter,ne - katakana
ノ,katakana_letters,letter,no - katakana
ハ,katakana_letters,letter,ha - katakana
ヒ,katakana_letters,letter,hi - katakana
フ,katakana_letters,letter,fu - katakana
ヘ,katakana_letters,letter,he - katakana
ホ,katakana_letters,letter,ho - katakana
マ,katakana_letters,letter,ma - katakana
ミ,katakana_letters,letter,mi - katakana
ム,katakana_letters,letter,mu - katakana
メ,katakana_letters,letter,me - katakana
モ,katakana_letters,letter,mo - katakana
ヤ,katakana_letters,letter,ya - katakana
ユ,katakana_letters,letter,yu - katakana
ヨ,katakana_letters,letter,yo - katakana
ラ,katakana_letters,letter,ra - katakana
リ,katakana_letters,letter,ri - katakana
ル,katakana_letters,letter,ru - katakana
レ,katakana_letters,letter,re - katakana
ロ,katakana_letters,letter,ro - katakana
ワ,katakana_letters,letter,wa - katakana
ン,katakana_letters,letter,n - katakana
