word,domain,type,note
ა,georgian_letters,letter,an - first letter
ბ,georgian_letters,letter,ban - second letter
გ,georgian_letters,letter,gan - third letter
დ,georgian_letters,letter,don - fourth letter
ე,georgian_letters,letter,en - fifth letter
ვ,georgian_letters,letter,vin - sixth letter
ზ,georgian_letters,letter,zen - seventh letter
თ,georgian_letters,letter,tan - eighth letter
ი,georgian_letters,letter,in - ninth letter
კ,georgian_letters,letter,k'an - tenth letter
ლ,georgian_letters,letter,las - eleventh letter
მ,georgian_letters,letter,man - twelfth letter
ნ,georgian_letters,letter,nar - thirteenth letter
ო,georgian_letters,letter,on - fourteenth letter
პ,georgian_letters,letter,p'ar - fifteenth letter
ჟ,georgian_letters,letter,zhar - sixteenth letter
რ,georgian_letters,letter,rae - seventeenth letter
ს,georgian_letters,letter,san - eighteenth letter
ტ,georgian_letters,letter,t'ar - nineteenth letter
უ,georgian_letters,letter,un - twentieth letter
ფ,georgian_letters,letter,phar - twenty-first letter
ქ,georgian_letters,letter,khar - twenty-second letter
ღ,georgian_letters,letter,ghan - twenty-third letter
ყ,georgian_letters,letter,qar - twenty-fourth letter
შ,georgian_letters,letter,shin - twenty-fifth letter
ჩ,georgian_letters,letter,chin - twenty-sixth letter
ც,georgian_letters,letter,can - twenty-seventh letter
ძ,georgian_letters,letter,dzil - twenty-eighth letter
წ,georgian_letters,letter,c'il - twenty-ninth letter
ჭ,georgian_letters,letter,char - thirtieth letter
ხ,georgian_letters,letter,xan - thirty-first letter
ჯ,georgian_letters,letter,jil - thirty-second letter
ჰ,georgian_letters,letter,hae - thirty-third letter
