word,domain,type,note
ก,thai_letters,letter,ko kai - consonant
ข,thai_letters,letter,kho khai - consonant
ค,thai_letters,letter,kho khwai - consonant
ง,thai_letters,letter,ngo ngu - consonant
จ,thai_letters,letter,cho chan - consonant
ฉ,thai_letters,letter,cho ching - consonant
ช,thai_letters,letter,cho chang - consonant
ซ,thai_letters,letter,so so - consonant
ญ,thai_letters,letter,yo ying - consonant
ด,thai_letters,letter,do dek - consonant
ต,thai_letters,letter,to tao - consonant
ถ,thai_letters,letter,tho thung - consonant
ท,thai_letters,letter,tho thahan - consonant
ธ,thai_letters,letter,tho thong - consonant
น,thai_letters,letter,no nu - consonant
บ,thai_letters,letter,bo baimai - consonant
ป,thai_letters,letter,po pla - consonant
ผ,thai_letters,letter,pho phung - consonant
ฝ,thai_letters,letter,fo fa - consonant
พ,thai_letters,letter,pho phan - consonant
ฟ,thai_letters,letter,fo fan - consonant
ภ,thai_letters,letter,pho samphao - consonant
ม,thai_letters,letter,mo ma - consonant
ย,thai_letters,letter,yo yak - consonant
ร,thai_letters,letter,ro ruea - consonant
ล,thai_letters,letter,lo ling - consonant
ว,thai_letters,letter,wo waen - consonant
ศ,thai_letters,letter,so sala - consonant
ษ,thai_letters,letter,so rue si - consonant
ส,thai_letters,letter,so suea - consonant
ห,thai_letters,letter,ho hip - consonant
ฬ,thai_letters,letter,lo chula - consonant
อ,thai_letters,letter,o ang - consonant
ฮ,thai_letters,letter,ho nokhuk - consonant
