word,domain,type,note,english_original
亢,radicals_1d,radical,high radical,
卜,radicals_1d,radical,divination radical,
奂,radicals_1d,radical,change radical,
聿,radicals_1d,radical,brush radical,
乂,radicals_1d,radical,mow radical,
曰,radicals_1d,radical,say radical,
爻,radicals_1d,radical,lines radical,
幷,radicals_1d,radical,side by side,
门,radicals_1d,radical,gate radical variant,
耒,radicals_1d,radical,plow radical,
舛,radicals_1d,radical,oppose radical,
臼,radicals_1d,radical,mortar radical,
孚,radicals_1d,radical,trust radical,
艹,radicals_1d,radical,grass radical variant,
兀,radicals_1d,radical,stand radical,
刍,radicals_1d,radical,hay radical,
厶,radicals_pure,radical,private radical,
氵,radicals_pure,radical,water radical variant,
乀,radicals_pure,radical,second stroke,
礻,radicals_pure,radical,spirit radical variant,
㔾,radicals_pure,radical,variant radical,
禸,radicals_pure,radical,track radical,
亅,radicals_pure,radical,hook stroke,
朩,radicals_pure,radical,tree radical variant,
丨,radicals_pure,radical,vertical line,
虍,radicals_pure,radical,tiger radical variant,
罓,radicals_pure,radical,net radical variant,
忄,radicals_pure,radical,heart radical variant,
佥,radicals_pure,radical,all radical,
攵,radicals_pure,radical,tap radical variant,
疋,radicals_pure,radical,foot radical,
⺧,radicals_pure,radical,heart radical variant,
饣,radicals_pure,radical,food radical variant,
刂,radicals_pure,radical,knife radical variant,
旡,radicals_pure,radical,choke radical,
彡,radicals_pure,radical,bristle radical,
肙,radicals_pure,radical,meat radical variant,
耂,radicals_pure,radical,old radical,
乛,radicals_pure,radical,second hook,
癶,radicals_pure,radical,dotted tent,
灬,radicals_pure,radical,fire radical variant,
乁,radicals_pure,radical,first hook,
爫,radicals_pure,radical,claw radical,
呙,radicals_pure,radical,breathe radical,
钅,radicals_pure,radical,metal radical variant,
匚,radicals_pure,radical,box radical,
巛,radicals_pure,radical,river radical variant,
爿,radicals_pure,radical,split wood,
㕻,radicals_pure,radical,variant radical,
扌,radicals_pure,radical,hand radical variant,
⺮,radicals_pure,radical,bamboo radical variant,
夆,radicals_pure,radical,peak radical,
囟,radicals_pure,radical,fontanelle radical,
⺩,radicals_pure,radical,king radical variant,
畐,radicals_pure,radical,full radical,
尢,radicals_pure,radical,lame radical,
亻,radicals_pure,radical,person radical variant,
匸,radicals_pure,radical,hide radical,
⺀,radicals_pure,radical,second radical variant,
衤,radicals_pure,radical,clothing radical variant,
⺍,radicals_pure,radical,grass radical variant,
彐,radicals_pure,radical,snout radical,
坙,radicals_pure,radical,earth radical variant,
豸,radicals_pure,radical,badger radical,
屰,radicals_pure,radical,go radical,
廴,radicals_pure,radical,long stride,
戋,radicals_pure,radical,narrow radical,
丷,radicals_pure,radical,eight radical variant,
黾,radicals_pure,radical,frog radical,
疒,radicals_pure,radical,sickness radical,
冂,radicals_pure,radical,wide radical,
夂,radicals_pure,radical,go radical variant,
⺁,radicals_pure,radical,ice radical variant,
凵,radicals_pure,radical,receptacle radical,
阝,radicals_pure,radical,mound radical,
攴,radicals_pure,radical,tap radical,
丬,radicals_pure,radical,half tree trunk,
辶,radicals_pure,radical,walk radical variant,
彑,radicals_pure,radical,pig head,
勹,radicals_pure,radical,wrap radical,
夊,radicals_pure,radical,go radical variant,
覀,radicals_pure,radical,west radical variant,
⺌,radicals_pure,radical,small radical variant,
罒,radicals_pure,radical,net radical,
牜,radicals_pure,radical,ox radical variant,
𤴔,radicals_pure,radical,field radical variant,
冖,radicals_pure,radical,cover radical,
⺶,radicals_pure,radical,sheep radical variant,
冫,radicals_pure,radical,ice radical,
㐬,radicals_pure,radical,flow radical,
宀,radicals_pure,radical,roof radical,
彳,radicals_pure,radical,step radical,
⻏,radicals_pure,radical,city radical variant,
讠,radicals_pure,radical,speech radical variant,
龴,radicals_pure,radical,flute radical,
氺,radicals_pure,radical,water radical variant,
亠,radicals_pure,radical,lid radical,
丿,radicals_pure,radical,slash stroke,
殳,radicals_pure,radical,weapon radical,
⺪,radicals_pure,radical,moon radical variant,
豕,radicals_pure,radical,pig radical,
隹,radicals_pure,radical,short-tailed bird,
卩,radicals_pure,radical,seal radical,
廾,radicals_pure,radical,arch radical,
乚,radicals_pure,radical,second turning,
犭,radicals_pure,radical,dog radical variant,
纟,radicals_pure,radical,silk radical variant,
龺,radicals_pure,radical,labor radical,
丶,radicals_pure,radical,dot stroke,
屮,radicals_pure,radical,sprout radical,
⺷,radicals_pure,radical,sheep radical variant,
亍,radicals_pure,radical,step radical variant,
一,elemental_chars,character,one - number and horizontal stroke,
乙,elemental_chars,character,second - cyclical sign,
二,elemental_chars,character,two - number,
人,elemental_chars,character,person - human being,
儿,elemental_chars,character,child - young person,
入,elemental_chars,character,enter - to go in,
八,elemental_chars,character,eight - number,
几,elemental_chars,character,few - small table,
刁,elemental_chars,character,sly - cunning,
刀,elemental_chars,character,knife - blade,
乃,elemental_chars,character,then - therefore,
力,elemental_chars,character,power - strength,
丁,elemental_chars,character,fourth - male adult,
了,elemental_chars,character,finish - complete,
匕,elemental_chars,character,spoon - dagger,
十,elemental_chars,character,ten - number,
九,elemental_chars,character,nine - number,
七,elemental_chars,character,seven - number,
厂,elemental_chars,character,factory - cliff,
又,elemental_chars,character,again - also,
乡,elemental_chars,character,village - hometown,
已,elemental_chars,character,already - finished,
飞,elemental_chars,character,fly - soar,
马,elemental_chars,character,horse - animal,
三,elemental_chars,character,three - number,
丸,elemental_chars,character,pill - round,
才,elemental_chars,character,talent - ability,
习,elemental_chars,character,practice - learn,
勺,elemental_chars,character,spoon - ladle,
刃,elemental_chars,character,blade - edge,
叉,elemental_chars,character,fork - branch,
乞,elemental_chars,character,beg - request,
千,elemental_chars,character,thousand - number,
万,elemental_chars,character,ten thousand - myriad,
下,elemental_chars,character,below - down,
上,elemental_chars,character,above - up,
亡,elemental_chars,character,death - flee,
亏,elemental_chars,character,loss - deficit,
久,elemental_chars,character,long time - endure,
丈,elemental_chars,character,zhang - measure,
于,elemental_chars,character,at - in,
口,elemental_chars,character,mouth - opening,
也,elemental_chars,character,also - particle,
及,elemental_chars,character,reach - and,
囗,elemental_chars,character,enclosure - surround,
个,elemental_chars,character,individual - classifier,
之,elemental_chars,character,of - particle,
土,elemental_chars,character,earth - soil,
与,elemental_chars,character,give - and,
义,elemental_chars,character,justice - meaning,
士,elemental_chars,character,scholar - gentleman,
夕,elemental_chars,character,evening - sunset,
大,elemental_chars,character,big - large,
女,elemental_chars,character,woman - female,
子,elemental_chars,character,child - son,
寸,elemental_chars,character,inch - measure,
小,elemental_chars,character,small - little,
尸,elemental_chars,character,corpse - body,
山,elemental_chars,character,mountain - hill,
川,elemental_chars,character,river - stream,
工,elemental_chars,character,work - labor,
己,elemental_chars,character,self - oneself,
