word,domain,type,note
red,colors,noun,classic_conceptual_space
blue,colors,noun,classic_conceptual_space
green,colors,noun,classic_conceptual_space
yellow,colors,noun,classic_conceptual_space
orange,colors,noun,classic_conceptual_space
purple,colors,noun,classic_conceptual_space
pink,colors,noun,classic_conceptual_space
brown,colors,noun,classic_conceptual_space
black,colors,noun,classic_conceptual_space
white,colors,noun,classic_conceptual_space
gray,colors,noun,classic_conceptual_space
circle,spatial,noun,geometric_shape
square,spatial,noun,geometric_shape
triangle,spatial,noun,geometric_shape
sphere,spatial,noun,geometric_shape
cube,spatial,noun,geometric_shape
point,spatial,noun,geometric_primitive
line,spatial,noun,geometric_primitive
corner,spatial,noun,geometric_feature
edge,spatial,noun,geometric_feature
center,spatial,noun,geometric_feature
surface,spatial,noun,geometric_feature
dog,animals,noun,domestic_mammal
cat,animals,noun,domestic_mammal
bird,animals,noun,flying_animal
fish,animals,noun,aquatic_animal
horse,animals,noun,domestic_mammal
cow,animals,noun,domestic_mammal
sheep,animals,noun,domestic_mammal
pig,animals,noun,domestic_mammal
chicken,animals,noun,domestic_bird
rabbit,animals,noun,small_mammal
tiger,animals,noun,wild_mammal
lion,animals,noun,wild_mammal
elephant,animals,noun,large_mammal
mouse,animals,noun,small_mammal
head,body,noun,body_part
hand,body,noun,body_part
foot,body,noun,body_part
eye,body,noun,sensory_organ
nose,body,noun,sensory_organ
mouth,body,noun,sensory_organ
ear,body,noun,sensory_organ
arm,body,noun,body_part
leg,body,noun,body_part
heart,body,noun,internal_organ
brain,body,noun,internal_organ
stomach,body,noun,internal_organ
mother,family,noun,parent
father,family,noun,parent
brother,family,noun,sibling
sister,family,noun,sibling
son,family,noun,child
daughter,family,noun,child
grandmother,family,noun,grandparent
grandfather,family,noun,grandparent
uncle,family,noun,extended_family
aunt,family,noun,extended_family
cousin,family,noun,extended_family
friend,social,noun,relationship
neighbor,social,noun,relationship
morning,time,noun,time_period
afternoon,time,noun,time_period
evening,time,noun,time_period
night,time,noun,time_period
day,time,noun,time_unit
week,time,noun,time_unit
month,time,noun,time_unit
year,time,noun,time_unit
hour,time,noun,time_unit
minute,time,noun,time_unit
second,time,noun,time_unit
past,time,noun,temporal_reference
present,time,noun,temporal_reference
future,time,noun,temporal_reference
apple,food,noun,fruit
banana,food,noun,fruit
bread,food,noun,grain_product
milk,food,noun,dairy
water,food,noun,liquid
coffee,food,noun,beverage
tea,food,noun,beverage
rice,food,noun,grain
meat,food,noun,protein
vegetable,food,noun,plant_food
fruit,food,noun,plant_food
cheese,food,noun,dairy
table,artifacts,noun,furniture
chair,artifacts,noun,furniture
book,artifacts,noun,information_tool
pen,artifacts,noun,writing_tool
computer,artifacts,noun,electronic_device
phone,artifacts,noun,communication_device
car,artifacts,noun,vehicle
house,artifacts,noun,building
door,artifacts,noun,building_part
window,artifacts,noun,building_part
key,artifacts,noun,access_tool
knife,artifacts,noun,cutting_tool
plate,artifacts,noun,eating_utensil
cup,artifacts,noun,drinking_utensil
love,emotions,noun,positive_emotion
hate,emotions,noun,negative_emotion
happiness,emotions,noun,positive_emotion
sadness,emotions,noun,negative_emotion
anger,emotions,noun,negative_emotion
fear,emotions,noun,negative_emotion
hope,emotions,noun,positive_emotion
beauty,abstract,noun,aesthetic_quality
truth,abstract,noun,epistemic_quality
justice,abstract,noun,moral_quality
freedom,abstract,noun,political_concept
peace,abstract,noun,social_conceptred
blue,colors,adjective,basic_color
green,colors,adjective,basic_color
yellow,colors,adjective,basic_color
orange,colors,adjective,basic_color
purple,colors,adjective,basic_color
pink,colors,adjective,basic_color
brown,colors,adjective,basic_color
black,colors,adjective,basic_color
white,colors,adjective,basic_color
gray,colors,adjective,basic_color
bright,colors,adjective,color_intensity
dark,colors,adjective,color_intensity
light,colors,adjective,color_intensity
pale,colors,adjective,color_intensity
big,size,adjective,size_dimension
small,size,adjective,size_dimension
large,size,adjective,size_dimension
tiny,size,adjective,size_dimension
huge,size,adjective,size_dimension
enormous,size,adjective,size_dimension
medium,size,adjective,size_dimension
thick,size,adjective,thickness_dimension
thin,size,adjective,thickness_dimension
wide,size,adjective,width_dimension
narrow,size,adjective,width_dimension
tall,size,adjective,height_dimension
short,size,adjective,height_dimension
long,size,adjective,length_dimension
hot,temperature,adjective,thermal_quality
cold,temperature,adjective,thermal_quality
warm,temperature,adjective,thermal_quality
cool,temperature,adjective,thermal_quality
freezing,temperature,adjective,extreme_cold
boiling,temperature,adjective,extreme_hot
lukewarm,temperature,adjective,moderate_temp
sweet,taste,adjective,taste_dimension
sour,taste,adjective,taste_dimension
bitter,taste,adjective,taste_dimension
salty,taste,adjective,taste_dimension
spicy,taste,adjective,taste_dimension
mild,taste,adjective,taste_intensity
sharp,taste,adjective,taste_intensity
bland,taste,adjective,taste_absence
smooth,texture,adjective,surface_quality
rough,texture,adjective,surface_quality
soft,texture,adjective,tactile_quality
hard,texture,adjective,tactile_quality
wet,texture,adjective,moisture_quality
dry,texture,adjective,moisture_quality
sticky,texture,adjective,adhesive_quality
slippery,texture,adjective,adhesive_quality
