word,domain,type,note
red,colors,adjective,basic_color
blue,colors,adjective,basic_color
green,colors,adjective,basic_color
yellow,colors,adjective,basic_color
orange,colors,adjective,basic_color
purple,colors,adjective,basic_color
pink,colors,adjective,basic_color
brown,colors,adjective,basic_color
black,colors,adjective,basic_color
white,colors,adjective,basic_color
gray,colors,adjective,basic_color
bright,colors,adjective,color_intensity
dark,colors,adjective,color_intensity
light,colors,adjective,color_intensity
pale,colors,adjective,color_intensity
big,size,adjective,size_dimension
small,size,adjective,size_dimension
large,size,adjective,size_dimension
tiny,size,adjective,size_dimension
huge,size,adjective,size_dimension
enormous,size,adjective,size_dimension
medium,size,adjective,size_dimension
thick,size,adjective,thickness_dimension
thin,size,adjective,thickness_dimension
wide,size,adjective,width_dimension
narrow,size,adjective,width_dimension
tall,size,adjective,height_dimension
short,size,adjective,height_dimension
long,size,adjective,length_dimension
hot,temperature,adjective,thermal_quality
cold,temperature,adjective,thermal_quality
warm,temperature,adjective,thermal_quality
cool,temperature,adjective,thermal_quality
freezing,temperature,adjective,extreme_cold
boiling,temperature,adjective,extreme_hot
lukewarm,temperature,adjective,moderate_temp
sweet,taste,adjective,taste_dimension
sour,taste,adjective,taste_dimension
bitter,taste,adjective,taste_dimension
salty,taste,adjective,taste_dimension
spicy,taste,adjective,taste_dimension
mild,taste,adjective,taste_intensity
sharp,taste,adjective,taste_intensity
bland,taste,adjective,taste_absence
smooth,texture,adjective,surface_quality
rough,texture,adjective,surface_quality
soft,texture,adjective,tactile_quality
hard,texture,adjective,tactile_quality
wet,texture,adjective,moisture_quality
dry,texture,adjective,moisture_quality
sticky,texture,adjective,adhesive_quality
slippery,texture,adjective,adhesive_quality
bumpy,texture,adjective,surface_irregularity
flat,texture,adjective,surface_regularity
round,shape,adjective,geometric_property
square,shape,adjective,geometric_property
triangular,shape,adjective,geometric_property
curved,shape,adjective,geometric_property
straight,shape,adjective,geometric_property
pointed,shape,adjective,geometric_feature
blunt,shape,adjective,geometric_feature
sharp,shape,adjective,geometric_feature
deep,shape,adjective,depth_dimension
shallow,shape,adjective,depth_dimension
happy,emotions,adjective,positive_emotion
sad,emotions,adjective,negative_emotion
angry,emotions,adjective,negative_emotion
calm,emotions,adjective,neutral_emotion
excited,emotions,adjective,arousal_high
bored,emotions,adjective,arousal_low
nervous,emotions,adjective,anxiety_emotion
confident,emotions,adjective,self_assurance
shy,emotions,adjective,social_anxiety
brave,emotions,adjective,courage_quality
afraid,emotions,adjective,fear_emotion
proud,emotions,adjective,self_esteem
ashamed,emotions,adjective,shame_emotion
good,moral,adjective,positive_evaluation
bad,moral,adjective,negative_evaluation
right,moral,adjective,moral_correct
wrong,moral,adjective,moral_incorrect
beautiful,aesthetic,adjective,beauty_quality
ugly,aesthetic,adjective,beauty_absence
fair,moral,adjective,justice_quality
unfair,moral,adjective,injustice_quality
honest,moral,adjective,truthfulness
dishonest,moral,adjective,deception
kind,moral,adjective,benevolence
cruel,moral,adjective,malevolence
generous,moral,adjective,giving_quality
selfish,moral,adjective,self_centered
heavy,physical,adjective,weight_dimension
light,physical,adjective,weight_dimension
strong,physical,adjective,force_dimension
weak,physical,adjective,force_dimension
fast,physical,adjective,speed_dimension
slow,physical,adjective,speed_dimension
loud,physical,adjective,volume_dimension
quiet,physical,adjective,volume_dimension
high,physical,adjective,elevation_dimension
low,physical,adjective,elevation_dimension
clean,physical,adjective,cleanliness_quality
dirty,physical,adjective,cleanliness_absence
new,temporal,adjective,age_dimension
old,temporal,adjective,age_dimension
fresh,temporal,adjective,recency_quality
stale,temporal,adjective,recency_absence
smart,cognitive,adjective,intelligence_quality
stupid,cognitive,adjective,intelligence_absence
wise,cognitive,adjective,wisdom_quality
foolish,cognitive,adjective,wisdom_absence
clever,cognitive,adjective,mental_agility
simple,cognitive,adjective,complexity_low
complex,cognitive,adjective,complexity_high
easy,cognitive,adjective,difficulty_low
difficult,cognitive,adjective,difficulty_high
clear,cognitive,adjective,comprehension_ease
confusing,cognitive,adjective,comprehension_difficulty
obvious,cognitive,adjective,clarity_high
subtle,cognitive,adjective,clarity_low
