word,domain,type,notes
the,articles_determiners,function,
a,articles_determiners,function,
an,articles_determiners,function,
this,articles_determiners,function,
that,articles_determiners,function,
some,articles_determiners,function,
any,articles_determiners,function,
each,articles_determiners,function,
every,articles_determiners,function,new
of,prepositions,function,
in,prepositions,function,
on,prepositions,function,
at,prepositions,function,
for,prepositions,function,
with,prepositions,function,
by,prepositions,function,
from,prepositions,function,
about,prepositions,function,
through,prepositions,function,
during,prepositions,function,
before,prepositions,function,
after,prepositions,function,
under,prepositions,function,
over,prepositions,function,
between,prepositions,function,
among,prepositions,function,
into,prepositions,function,
onto,prepositions,function,
without,prepositions,function,
and,conjunctions,function,
but,conjunctions,function,
or,conjunctions,function,
nor,conjunctions,function,
yet,conjunctions,function,
so,conjunctions,function,
if,conjunctions,function,
when,conjunctions,function,
while,conjunctions,function,
because,conjunctions,function,
although,conjunctions,function,
unless,conjunctions,function,
I,pronouns,function,
you,pronouns,function,
he,pronouns,function,
she,pronouns,function,
it,pronouns,function,
we,pronouns,function,
they,pronouns,function,
who,pronouns,function,
what,pronouns,function,
which,pronouns,function,
zero,numbers,abstract,mathematical_alphabet
one,numbers,abstract,mathematical_alphabet
two,numbers,abstract,mathematical_alphabet
three,numbers,abstract,mathematical_alphabet
four,numbers,abstract,mathematical_alphabet
five,numbers,abstract,mathematical_alphabet
six,numbers,abstract,mathematical_alphabet
seven,numbers,abstract,mathematical_alphabet
eight,numbers,abstract,mathematical_alphabet
nine,numbers,abstract,mathematical_alphabet
ten,numbers,abstract,mathematical_alphabet
eleven,numbers,abstract,mathematical_alphabet
twelve,numbers,abstract,mathematical_alphabet
twenty,numbers,abstract,mathematical_alphabet
fifteen,numbers,abstract,mathematical_alphabet-new
fifty,numbers,abstract,mathematical_alphabet-new
hundred,numbers,abstract,mathematical_alphabet
thousand,numbers,abstract,mathematical_alphabet-new
million,numbers,abstract,mathematical_alphabet-new
red,colors,abstract,perceptual_spectrum
orange,colors,abstract,perceptual_spectrum
yellow,colors,abstract,perceptual_spectrum
green,colors,abstract,perceptual_spectrum
blue,colors,abstract,perceptual_spectrum
purple,colors,abstract,perceptual_spectrum
pink,colors,abstract,perceptual_spectrum
brown,colors,abstract,perceptual_spectrum
black,colors,abstract,perceptual_spectrum
white,colors,abstract,perceptual_spectrum
gray,colors,abstract,perceptual_spectrum
gold,colors,abstract,perceptual_spectrum
silver,colors,abstract,perceptual_spectrum
violet,colors,abstract,perceptual_spectrum
father,family_kinship,content,
mother,family_kinship,content,
son,family_kinship,content,
daughter,family_kinship,content,
brother,family_kinship,content,
sister,family_kinship,content,
parent,family_kinship,content,
child,family_kinship,content,
grand-child,family_kinship,content,new
uncle,family_kinship,content,
aunt,family_kinship,content,
cousin,family_kinship,content,
grand-parent,family_kinship,content,new
grandfather,family_kinship,content,
grandmother,family_kinship,content,
husband,family_kinship,content,
wife,family_kinship,content,
nephew,family_kinship,content,
dog,animals,content,
cat,animals,content,
bird,animals,content,
fish,animals,content,
horse,animals,content,
cow,animals,content,
sheep,animals,content,
pig,animals,content,
chicken,animals,content,
duck,animals,content,
rabbit,animals,content,
mouse,animals,content,
tiger,animals,content,
lion,animals,content,
elephant,animals,content,
head,body_parts,content,
eye,body_parts,content,
nose,body_parts,content,
mouth,body_parts,content,
ear,body_parts,content,
hand,body_parts,content,
foot,body_parts,content,
leg,body_parts,content,
arm,body_parts,content,
heart,body_parts,content,
lung,body_parts,content,
stomach,body_parts,content,
brain,body_parts,content,
bone,body_parts,content,
finger,body_parts,content,
happy,emotions,content,
sad,emotions,content,
angry,emotions,content,
fear,emotions,content,
love,emotions,content,
hate,emotions,content,
joy,emotions,content,
sorrow,emotions,content,
anxious,emotions,content,
calm,emotions,content,
