word,domain,type
子,character,character 
好,character,character 
孝,character,character
孙,character,character
李,character,character
籽,character,character
季,character,character
字,character,character
学,character,character
孔子,people,ancient_philosopher
老子,people,ancient_philosopher
舍利子,people,religious_figure
墨子,people,ancient_philosopher
庄子,people,ancient_philosopher
孟子,people,ancient_philosopher
孙子,people,military_strategist
韩非子,people,ancient_philosopher
朱子,people,ancient_philosopher
弟子,people,hierarchical_academic
君子,people,hierarchical_moral
小子,people,hierarchical_informal
天子,people,hierarchical_imperial
王子,people,hierarchical_imperial
太子,people,hierarchical_imperial
妃子,people,hierarchical_imperial
臣子,people,hierarchical_imperial
娘子,people,hierarchical_familial
汉子,people,hierarchical_informal
瞎子,people,descriptive_physical
聋子,people,descriptive_physical
瘸子,people,descriptive_physical
胖子,people,descriptive_physical
瘦子,people,descriptive_physical
孩子,people,hierarchical_familial
侄子,people,hierarchical_familial
妻子,people,hierarchical_familial
儿子,people,hierarchical_familial
子女,people,hierarchical_familial
子孙,people,hierarchical_familial
父子,people,hierarchical_familial
母子,people,hierarchical_familial
男子,people,hierarchical_gender
女子,people,hierarchical_gender
原子,science,fundamental_particle
分子,science,molecular_structure
离子,science,charged_particle
核子,science,nuclear_particle
质子,science,fundamental_particle
中子,science,fundamental_particle
电子,science,fundamental_particle
量子,science,quantum_particle
光子,science,fundamental_particle
粒子,science,fundamental_particle
胶子,science,fundamental_particle
等离子,science,plasma_state
声子,science,quantum_particle
夸克子,science,fundamental_particle
玻色子,science,quantum_particle
费米子,science,quantum_particle
孢子,nature,biological_particle
种子,nature,biological_particle
精子,nature,biological_particle
卵子,nature,biological_particle
鼻子,body,anatomical_colloquial
脑子,body,anatomical_colloquial
肚子,body,anatomical_colloquial
脖子,body,anatomical_colloquial
胡子,body,anatomical_colloquial
嗓子,body,anatomical_colloquial
腰子,body,anatomical_colloquial
眸子,body,anatomical_colloquial
狮子,nature,animal_creature
兔子,nature,animal_creature
蚊子,nature,animal_creature
虫子,nature,animal_creature
鸽子,nature,animal_creature
猴子,nature,animal_creature
燕子,nature,animal_creature
蝎子,nature,animal_creature
屋子,objects,household_space
房子,objects,household_space
桌子,objects,household_furniture
椅子,objects,household_furniture
凳子,objects,household_furniture
箱子,objects,household_container
盒子,objects,household_container
盘子,objects,household_utensil
杯子,objects,household_utensil
瓶子,objects,household_container
盖子,objects,household_accessory
刷子,objects,household_tool
刀子,objects,household_tool
勺子,objects,household_utensil
筷子,objects,household_utensil
梯子,objects,household_tool
扇子,objects,household_accessory
鞭子,objects,household_tool
轮子,objects,mechanical_component
日子,abstract,temporal_marker
子时,abstract,temporal_marker
甲子,abstract,temporal_marker
辈子,abstract,temporal_marker
性子,abstract,personality_trait
面子,abstract,social_concept
圈子,abstract,social_concept
调子,abstract,cultural_concept
子集,abstract,mathematical_term
子群,abstract,mathematical_term
子空间,abstract,mathematical_term
子序列,abstract,mathematical_term
子程序,abstract,computational_term
因子,abstract,mathematical_term
棋子,objects,game_piece
骰子,objects,game_piece
毽子,objects,game_piece
笛子,objects,musical_instrument
曲子,abstract,cultural_concept
骗子,people,descriptive_character
傻子,people,descriptive_character
呆子,people,descriptive_character
疯子,people,descriptive_character
痞子,people,descriptive_character
婊子,people,descriptive_character
鬼子,people,descriptive_derogatory
洋鬼子,people,descriptive_derogatory
日本鬼子,people,descriptive_derogatory
毛子,people,descriptive_derogatory
孽子,people,descriptive_character
一份子,people,collective_member
瓜子,food,agricultural_food
柿子,food,agricultural_food
橘子,food,agricultural_food
茄子,food,agricultural_food
豆子,food,agricultural_food
毛栗子,food,agricultural_food
