word,domain,type
零,numeric_word,basic_digit
一,numeric_word,basic_digit
二,numeric_word,basic_digit
三,numeric_word,basic_digit
四,numeric_word,basic_digit
五,numeric_word,basic_digit
六,numeric_word,basic_digit
七,numeric_word,basic_digit
八,numeric_word,basic_digit
九,numeric_word,basic_digit
十,numeric_word,power_number
百,numeric_word,power_number
千,numeric_word,power_number
万,numeric_word,power_number
亿,numeric_word,power_number
十一,numeric_word,compound_number
十二,numeric_word,compound_number
十三,numeric_word,compound_number
十四,numeric_word,compound_number
十五,numeric_word,compound_number
十六,numeric_word,compound_number
十七,numeric_word,compound_number
十八,numeric_word,compound_number
十九,numeric_word,compound_number
二十,numeric_word,compound_number
三十二,numeric_word,compound_number
一零一,numeric_word,compound_number
