word,domain,type
null,numeric_word,basic_digit
eins,numeric_word,basic_digit
zwei,numeric_word,basic_digit
drei,numeric_word,basic_digit
vier,numeric_word,basic_digit
fünf,numeric_word,basic_digit
sechs,numeric_word,basic_digit
sieben,numeric_word,basic_digit
acht,numeric_word,basic_digit
neun,numeric_word,basic_digit
zehn,numeric_word,power_number
hundert,numeric_word,power_number
tausend,numeric_word,power_number
zehntausend,numeric_word,power_number
hundertmillion,numeric_word,power_number
elf,numeric_word,compound_number
zwölf,numeric_word,compound_number
zwanzig,numeric_word,compound_number
zweiunddreißig,numeric_word,compound_number
eins-null-eins,numeric_word,compound_number
zahl,mathematics,abstract_field
anzahl,mathematics,abstract_field
algebra,mathematics,abstract_field
analysis,mathematics,abstract_field
geometrie,mathematics,abstract_field
gleichung,mathematics,expression
funktion,mathematics,expression
ableitung,mathematics,operation
integral,mathematics,operation
matrix,mathematics,structure
satz,mathematics,proof
wahrscheinlichkeit,mathematics,theory
geschwindigkeit,physics,motion
beschleunigung,physics,motion
kraft,physics,motion
energie,physics,fundamental
masse,physics,motion
impuls,physics,motion
frequenz,physics,wave
wellenlänge,physics,wave
atom,physics,quantum_theory
molekül,physics,quantum_theory
teilchen,physics,quantum_theory
quant,physics,quantum_theory
relativität,physics,theory
