word,domain,type
zero,numeric_word,basic_digit
one,numeric_word,basic_digit
two,numeric_word,basic_digit
three,numeric_word,basic_digit
four,numeric_word,basic_digit
five,numeric_word,basic_digit
six,numeric_word,basic_digit
seven,numeric_word,basic_digit
eight,numeric_word,basic_digit
nine,numeric_word,basic_digit
ten,numeric_word,power_number
hundred,numeric_word,power_number
thousand,numeric_word,power_number
ten-thousand,numeric_word,power_number
hundred-million,numeric_word,power_number
eleven,numeric_word,compound_number
twelve,numeric_word,compound_number
Thirteen,numeric_word,compound_number
Fourteen,numeric_word,compound_number
Fifteen,numeric_word,compound_number
Sixteen,numeric_word,compound_number
Seventeen,numeric_word,compound_number
Eighteen,numeric_word,compound_number
Nineteen,numeric_word,compound_number
twenty,numeric_word,compound_number
thirty-two,numeric_word,compound_number
fifty,numeric_word,compound_number
sixty,numeric_word,compound_number
seventy,numeric_word,compound_number
eighty,numeric_word,compound_number
ninety,numeric_word,compound_number
one-hundred,numeric_word,compound_number
two-hundred,numeric_word,compound_number
three-hundred,numeric_word,compound_number
five-hundred,numeric_word,compound_number
one-thousand,numeric_word,compound_number
one-zero-one,numeric_word,compound_number
null,numeric_word,zero_concept
nothing,numeric_word,zero_concept
void,numeric_word,zero_concept
empty,numeric_word,zero_concept
O,symbols,alphabet_letter
0,numbers,numeric_symbol
1,numbers,numeric_symbol
2,numbers,numeric_symbol
3,numbers,numeric_symbol
4,numbers,numeric_symbol
5,numbers,numeric_symbol
6,numbers,numeric_symbol
7,numbers,numeric_symbol
8,numbers,numeric_symbol
9,numbers,numeric_symbol
10,numbers,numeric_symbol
11,numbers,numeric_symbol
12,numbers,numeric_symbol
13,numbers,numeric_symbol
14,numbers,numeric_symbol
15,numbers,numeric_symbol
16,numbers,numeric_symbol
17,numbers,numeric_symbol
18,numbers,numeric_symbol
19,numbers,numeric_symbol
20,numbers,numeric_symbol
30,numbers,numeric_symbol
31,numbers,numeric_symbol
40,numbers,numeric_symbol
50,numbers,numeric_symbol
60,numbers,numeric_symbol
70,numbers,numeric_symbol
80,numbers,numeric_symbol
90,numbers,numeric_symbol
100,numbers,numeric_symbol
101,numbers,numeric_symbol
110,numbers,numeric_symbol
120,numbers,numeric_symbol
130,numbers,numeric_symbol
140,numbers,numeric_symbol
150,numbers,numeric_symbol
160,numbers,numeric_symbol
170,numbers,numeric_symbol
180,numbers,numeric_symbol
190,numbers,numeric_symbol
200,numbers,numeric_symbol
250,numbers,numeric_symbol
300,numbers,numeric_symbol
400,numbers,numeric_symbol
500,numbers,numeric_symbol
600,numbers,numeric_symbol
700,numbers,numeric_symbol
800,numbers,numeric_symbol
900,numbers,numeric_symbol
1000,numbers,numeric_symbol
2000,numbers,numeric_symbol
3000,numbers,numeric_symbol
4000,numbers,numeric_symbol
5000,numbers,numeric_symbol
6000,numbers,numeric_symbol
7000,numbers,numeric_symbol
8000,numbers,numeric_symbol
9000,numbers,numeric_symbol
10000,numbers,numeric_symbol
100000,numbers,numeric_symbol
1000000,numbers,numeric_symbol
10000000,numbers,numeric_symbol
100000000,numbers,numeric_symbol
0.33333333,numbers,rational
0.1,numbers,numeric_symbol
0.01,numbers,numeric_symbol
0.001,numbers,numeric_symbol
0.0001,numbers,numeric_symbol
3.1415926535,numbers,irrational
π,numbers,irrational
2.7182818284,numbers,irrational
1.6180339887,numbers,irrational
0.5772156649,numbers,irrational
1.414213562,numbers,irrational
addition,arithmetic,basic_operation
subtraction,arithmetic,basic_operation
multiplication,arithmetic,basic_operation
division,arithmetic,basic_operation
plus,arithmetic,basic_operation
minus,arithmetic,basic_operation
times,arithmetic,basic_operation
equals,arithmetic,basic_operation
sum,arithmetic,result
difference,arithmetic,result
product,arithmetic,result
quotient,arithmetic,result
fraction,arithmetic,advanced_number
decimal,arithmetic,advanced_number
percentage,arithmetic,advanced_number
ratio,arithmetic,relationship
proportion,arithmetic,relationship
square,arithmetic,power_operation
square-root,arithmetic,power_operation
exponent,arithmetic,power_operation
power,arithmetic,power_operation
formula,applied_math,computational_tool
calculation,applied_math,computational_tool
computation,applied_math,computational_tool
algorithm,applied_math,computational_tool
variable,applied_math,mathematical_concept
constant,applied_math,mathematical_concept
parameter,applied_math,mathematical_concept
coefficient,applied_math,mathematical_concept
statistics,applied_math,data_analysis
data,applied_math,data_analysis
measurement,applied_math,quantitative_concept
precision,applied_math,quantitative_concept
accuracy,applied_math,quantitative_concept
error,applied_math,quantitative_concept
graph,applied_math,visualization
chart,applied_math,visualization
plot,applied_math,visualization
axis,applied_math,visualization
coordinate,applied_math,visualization
unit,measurement,physical_concept
dimension,measurement,physical_concept
scale,measurement,physical_concept
magnitude,measurement,physical_concept
order,measurement,physical_concept
rate,measurement,derived_quantity
speed,measurement,derived_quantity
distance,measurement,physical_quantity
time,measurement,physical_quantity
temperature,measurement,physical_quantity
pressure,measurement,physical_quantity
density,measurement,physical_quantity
volume,measurement,physical_quantity
area,measurement,physical_quantity
number,mathematics,abstract_field
count,mathematics,abstract_field
algebra,mathematics,abstract_field
calculus,mathematics,abstract_field
geometry,mathematics,abstract_field
equation,mathematics,expression
function,mathematics,expression
derivative,mathematics,operation
integral,mathematics,operation
matrix,mathematics,structure
theorem,mathematics,proof
probability,mathematics,theory
velocity,physics,motion
acceleration,physics,motion
force,physics,motion
energy,physics,fundamental
mass,physics,motion
momentum,physics,motion
frequency,physics,wave
wavelength,physics,wave
atom,physics,quantum_theory
molecule,physics,quantum_theory
particle,physics,quantum_theory
quantum,physics,quantum_theory
relativity,physics,theory
