word,domain,type,note
-1,negative_integer,number,
-2,negative_integer,number,
-3,negative_integer,number,
-4,negative_integer,number,
-5,negative_integer,number,
-6,negative_integer,number,
-7,negative_integer,number,
-8,negative_integer,number,
-9,negative_integer,number,
-10,negative_integer,number,
-11,negative_integer,number,
-12,negative_integer,number,
-90,negative_integer,number,
-100,negative_integer,number,
-101,negative_integer,number,
0.000001,decimal,number,
0.00001,decimal,number,
0.0001,decimal,number,
0.001,decimal,number,
0.01,decimal,number,
0.1,decimal,number,
0.33333333333,decimal,number,
2.7182,decimal,number,
3.141592,decimal,number,
0,integer,number,
1,integer,number,
2,integer,number,
3,integer,number,
4,integer,number,
5,integer,number,
6,integer,number,
7,integer,number,
8,integer,number,
9,integer,number,
10,integer,number,
11,integer,number,
12,integer,number,
13,integer,number,
14,integer,number,
15,integer,number,
16,integer,number,
17,integer,number,
18,integer,number,
19,integer,number,
20,integer,number,
21,integer,number,
22,integer,number,
23,integer,number,
24,integer,number,
25,integer,number,
26,integer,number,
27,integer,number,
28,integer,number,
29,integer,number,
30,integer,number,
31,integer,number,
32,integer,number,
33,integer,number,
34,integer,number,
35,integer,number,
36,integer,number,
37,integer,number,
38,integer,number,
39,integer,number,
40,integer,number,
41,integer,number,
42,integer,number,
43,integer,number,
44,integer,number,
45,integer,number,
46,integer,number,
47,integer,number,
48,integer,number,
49,integer,number,
50,integer,number,
51,integer,number,
52,integer,number,
53,integer,number,
54,integer,number,
94,integer,number,
95,integer,number,
96,integer,number,
97,integer,number,
98,integer,number,
99,integer,number,
100,integer,number,
101,integer,number,
102,integer,number,
103,integer,number,
104,integer,number,
105,integer,number,
106,integer,number,
107,integer,number,
108,integer,number,
109,integer,number,
110,integer,number,
111,integer,number,
negative,math,concept,
positive,math,concept,
number,math,concept,
integeter,math,concept,
real,math,concept,
mathematics,math,concept,
count,math,concept,
calculus,math,concept,
