word,domain,type,note
+,operations,symbol,addition operator
-,operations,symbol,subtraction operator
*,operations,symbol,multiplication operator
/,operations,symbol,division operator
=,operations,symbol,equality operator
<,operations,symbol,less than
>,operations,symbol,greater than
≤,operations,symbol,less than or equal
≥,operations,symbol,greater than or equal
≠,operations,symbol,not equal
±,operations,symbol,plus or minus
∞,symbols,symbol,infinity symbol
∑,symbols,symbol,summation
∏,symbols,symbol,product
∫,symbols,symbol,integral
∂,symbols,symbol,partial derivative
∇,symbols,symbol,nabla operator
√,symbols,symbol,square root
^,operations,symbol,exponentiation
!,operations,symbol,factorial
%,operations,symbol,modulo
π,constants,constant,pi constant
e,constants,constant,Euler's number
i,constants,constant,imaginary unit
φ,constants,constant,golden ratio
0,numbers,number,zero digit
1,numbers,number,one digit
2,numbers,number,two digit
3,numbers,number,three digit
4,numbers,number,four digit
5,numbers,number,five digit
6,numbers,number,six digit
7,numbers,number,seven digit
8,numbers,number,eight digit
9,numbers,number,nine digit
10,numbers,number,ten
100,numbers,number,hundred
1000,numbers,number,thousand
million,numbers,number,large number
billion,numbers,number,large number
infinity,numbers,concept,infinite quantity
zero,numbers,word,zero as word
one,numbers,word,one as word
two,numbers,word,two as word
three,numbers,word,three as word
four,numbers,word,four as word
five,numbers,word,five as word
prime,numbers,concept,prime number
even,numbers,concept,even number
odd,numbers,concept,odd number
rational,numbers,concept,rational number
irrational,numbers,concept,irrational number
real,numbers,concept,real number
complex,numbers,concept,complex number
imaginary,numbers,concept,imaginary number
x,algebra,variable,common variable
y,algebra,variable,common variable
z,algebra,variable,common variable
a,algebra,variable,common variable
b,algebra,variable,common variable
c,algebra,variable,common variable
n,algebra,variable,common variable
variable,algebra,concept,mathematical variable
constant,algebra,concept,mathematical constant
coefficient,algebra,concept,numerical coefficient
equation,algebra,concept,mathematical equation
function,algebra,concept,mathematical function
polynomial,algebra,concept,polynomial function
linear,algebra,concept,linear relationship
quadratic,algebra,concept,quadratic function
cubic,algebra,concept,cubic function
exponential,algebra,concept,exponential function
logarithm,algebra,concept,logarithmic function
derivative,calculus,concept,rate of change
integral,calculus,concept,area under curve
limit,calculus,concept,limiting behavior
series,calculus,concept,infinite series
sequence,algebra,concept,ordered sequence
matrix,algebra,concept,mathematical matrix
vector,algebra,concept,mathematical vector
determinant,algebra,concept,matrix determinant
eigenvalue,algebra,concept,matrix eigenvalue
eigenvector,algebra,concept,matrix eigenvector
point,geometry,concept,geometric point
line,geometry,concept,geometric line
plane,geometry,concept,geometric plane
angle,geometry,concept,geometric angle
triangle,geometry,shape,three-sided polygon
square,geometry,shape,four-sided rectangle
circle,geometry,shape,round shape
sphere,geometry,shape,3D ball
cylinder,geometry,shape,3D cylinder
cone,geometry,shape,3D cone
polygon,geometry,concept,many-sided shape
diameter,geometry,measure,circle diameter
radius,geometry,measure,circle radius
circumference,geometry,measure,circle perimeter
area,geometry,measure,2D measurement
volume,geometry,measure,3D measurement
sine,geometry,function,trigonometric function
cosine,geometry,function,trigonometric function
tangent,geometry,function,trigonometric function
hypotenuse,geometry,concept,triangle longest side
perpendicular,geometry,concept,90 degree angle
parallel,geometry,concept,same direction
congruent,geometry,concept,same shape size
similar,geometry,concept,same shape
symmetry,geometry,concept,balanced proportion
transformation,geometry,concept,geometric change
calculus,calculus,field,mathematical analysis
differentiation,calculus,operation,finding derivatives
integration,calculus,operation,finding integrals
chain rule,calculus,rule,derivative rule
product rule,calculus,rule,derivative rule
quotient rule,calculus,rule,derivative rule
fundamental theorem,calculus,theorem,calculus main theorem
continuity,calculus,concept,continuous function
differentiable,calculus,concept,has derivative
monotonic,calculus,concept,always increasing/decreasing
concave,calculus,concept,curve shape
convex,calculus,concept,curve shape
minimum,calculus,concept,lowest point
maximum,calculus,concept,highest point
optimization,calculus,concept,finding extrema
Taylor series,calculus,concept,function approximation
Fourier series,calculus,concept,frequency analysis
probability,statistics,concept,likelihood measure
statistics,statistics,field,data analysis
mean,statistics,measure,average value
median,statistics,measure,middle value
mode,statistics,measure,most frequent
variance,statistics,measure,data spread
deviation,statistics,measure,data variation
normal,statistics,concept,bell curve
distribution,statistics,concept,data pattern
correlation,statistics,concept,relationship measure
regression,statistics,concept,predictive modeling
hypothesis,statistics,concept,testable statement
significance,statistics,concept,statistical importance
confidence,statistics,concept,certainty level
random,statistics,concept,unpredictable
sample,statistics,concept,data subset
