word,domain,type,note
🔥,pictographic_modern,emoji,fire - modern pictograph
火,pictographic_ancient,radical,fire - ancient pictograph
🌳,pictographic_modern,emoji,tree - modern pictograph
木,pictographic_ancient,radical,wood/tree - ancient pictograph
💧,pictographic_modern,emoji,water drop - modern pictograph
水,pictographic_ancient,radical,water - ancient pictograph
👁️,pictographic_modern,emoji,eye - modern pictograph
目,pictographic_ancient,radical,eye - ancient pictograph
🏠,pictographic_modern,emoji,house - modern pictograph
宀,pictographic_ancient,radical,roof/house - ancient pictograph
⚔️,pictographic_modern,emoji,sword - modern pictograph
刀,pictographic_ancient,radical,knife/blade - ancient pictograph
🐄,pictographic_modern,emoji,cow - modern pictograph
牛,pictographic_ancient,radical,ox/cow - ancient pictograph
🌙,pictographic_modern,emoji,moon - modern pictograph
月,pictographic_ancient,radical,moon - ancient pictograph
☀️,pictographic_modern,emoji,sun - modern pictograph
日,pictographic_ancient,radical,sun/day - ancient pictograph
👂,pictographic_modern,emoji,ear - modern pictograph
耳,pictographic_ancient,radical,ear - ancient pictograph
👃,pictographic_modern,emoji,nose - modern pictograph
鼻,pictographic_ancient,radical,nose - ancient pictograph
👄,pictographic_modern,emoji,mouth - modern pictograph
口,pictographic_ancient,radical,mouth - ancient pictograph
👤,pictographic_modern,emoji,person - modern pictograph
人,pictographic_ancient,radical,person - ancient pictograph
✋,pictographic_modern,emoji,hand - modern pictograph
手,pictographic_ancient,radical,hand - ancient pictograph
🦵,pictographic_modern,emoji,foot/leg - modern pictograph
足,pictographic_ancient,radical,foot - ancient pictograph
❤️,pictographic_modern,emoji,heart - modern pictograph
心,pictographic_ancient,radical,heart/mind - ancient pictograph
🏔️,pictographic_modern,emoji,mountain - modern pictograph
山,pictographic_ancient,radical,mountain - ancient pictograph
🌾,pictographic_modern,emoji,grain - modern pictograph
禾,pictographic_ancient,radical,grain/cereal - ancient pictograph
🐟,pictographic_modern,emoji,fish - modern pictograph
鱼,pictographic_ancient,radical,fish - ancient pictograph
🐦,pictographic_modern,emoji,bird - modern pictograph
鸟,pictographic_ancient,radical,bird - ancient pictograph
