word,domain,type,note
火,pictographic_ancient,radical,fire - ancient pictograph
木,pictographic_ancient,radical,wood/tree - ancient pictograph
水,pictographic_ancient,radical,water - ancient pictograph
目,pictographic_ancient,radical,eye - ancient pictograph
#宀,pictographic_ancient,radical,roof/house - ancient pictograph
刀,pictographic_ancient,radical,knife/blade - ancient pictograph
牛,pictographic_ancient,radical,ox/cow - ancient pictograph
月,pictographic_ancient,radical,moon - ancient pictograph
日,pictographic_ancient,radical,sun/day - ancient pictograph
耳,pictographic_ancient,radical,ear - ancient pictograph
鼻,pictographic_ancient,radical,nose - ancient pictograph
口,pictographic_ancient,radical,mouth - ancient pictograph
人,pictographic_ancient,radical,person - ancient pictograph
手,pictographic_ancient,radical,hand - ancient pictograph
足,pictographic_ancient,radical,foot - ancient pictograph
心,pictographic_ancient,radical,heart/mind - ancient pictograph
山,pictographic_ancient,radical,mountain - ancient pictograph
禾,pictographic_ancient,radical,grain/cereal - ancient pictograph
鱼,pictographic_ancient,radical,fish - ancient pictograph
鸟,pictographic_ancient,radical,bird - ancient pictograph
#艹,pictographic_ancient,radical,grass - ancient pictograph
目,pictographic_ancient,radical,eye protection - ancient pictograph
匕,pictographic_ancient,radical,dagger/spoon - ancient pictograph
弓,pictographic_ancient,radical,bow - ancient pictograph
矢,pictographic_ancient,radical,arrow - ancient pictograph
刀,pictographic_ancient,radical,knife blade - ancient pictograph
电,pictographic_ancient,radical,lightning/electricity - ancient pictograph
土,pictographic_ancient,radical,earth/soil - ancient pictograph
玉,pictographic_ancient,radical,jade/gem - ancient pictograph
龙,pictographic_ancient,radical,dragon - ancient pictograph
羊,pictographic_ancient,radical,sheep - ancient pictograph
风,pictographic_ancient,radical,wind - ancient pictograph
子,pictographic_ancient,radical,child/son - ancient pictograph
女,pictographic_ancient,radical,woman - ancient pictograph
王,pictographic_ancient,radical,king - ancient pictograph
瓦,pictographic_ancient,radical,tile/pottery - ancient pictograph
麦,pictographic_ancient,radical,wheat - ancient pictograph
龟,pictographic_ancient,radical,turtle - ancient pictograph
齿,pictographic_ancient,radical,tooth - ancient pictograph
鬼,pictographic_ancient,radical,ghost/spirit - ancient pictograph
血,pictographic_ancient,radical,blood - ancient pictograph
虫,pictographic_ancient,radical,insect/worm - ancient pictograph
衣,pictographic_ancient,radical,clothes - ancient pictograph
行,pictographic_ancient,radical,walk/go - ancient pictograph
舟,pictographic_ancient,radical,boat - ancient pictograph
骨,pictographic_ancient,radical,bone - ancient pictograph
色,pictographic_ancient,radical,color - ancient pictograph
米,pictographic_ancient,radical,rice - ancient pictograph
#糸,pictographic_ancient,radical,silk/thread - ancient pictograph
缶,pictographic_ancient,radical,jar/pottery - ancient pictograph
网,pictographic_ancient,radical,net/network - ancient pictograph
羽,pictographic_ancient,radical,feather/wing - ancient pictograph
舌,pictographic_ancient,radical,tongue - ancient pictograph
竹,pictographic_ancient,radical,bamboo - ancient pictograph
