domain,color_name,color_hex,description
numbers,blue,#0066cc,Mathematical concepts and numerals
body,red,#cc0000,Human anatomy and physical parts
animals,orange,#ff6600,Fauna and animal kingdom
nature,green,#009900,Natural elements and environment
family,purple,#9900cc,Kinship and social relationships
emotions,pink,#ff3399,Feelings and emotional states
food,brown,#996633,Nourishment and sustenance
time,cyan,#00cccc,Temporal concepts and cycles
spatial,gray,#666666,Directions and spatial relationships
abstract,gold,#ffcc00,Philosophical and conceptual ideas
actions,navy,#003366,Verbs and dynamic activities
function,black,#000000,Grammatical and linguistic markers
english,lightblue,#99ccff,English translations and equivalents
