english,chinese,deepl
red,红色,
blue,蓝色,
green,绿色,
yellow,黄色,
orange,橙色,
purple,紫色,
pink,粉色,
brown,棕色,
black,黑色,
white,白色,
gray,灰色,
circle,圆形,
square,正方形,
triangle,三角形,
sphere,球体,
cube,立方体,
point,点,
line,线,
corner,角落,
edge,边,
center,中心,
surface,表面,
dog,狗,
cat,猫,
bird,鸟,
fish,鱼,
horse,马,
cow,牛,
sheep,羊,
pig,猪,
chicken,鸡,
rabbit,兔子,
tiger,老虎,
lion,狮子,
elephant,大象,
mouse,老鼠,
head,头,
hand,手,
foot,脚,
eye,眼睛,
nose,鼻子,
mouth,嘴,
ear,耳朵,
arm,胳膊,
leg,腿,
heart,心脏,
brain,大脑,
stomach,胃,
mother,母亲,
father,父亲,
brother,兄弟,
sister,姐妹,
son,儿子,
daughter,女儿,
grandmother,奶奶,
grandfather,爷爷,
uncle,叔叔,
aunt,阿姨,
cousin,表兄弟,
friend,朋友,
neighbor,邻居,
morning,早上,
afternoon,下午,
evening,晚上,
night,夜晚,
day,天,
week,星期,
month,月,
year,年,
hour,小时,
minute,分钟,
second,秒,
past,过去,
present,现在,
future,未来,
apple,苹果,
banana,香蕉,
bread,面包,
milk,牛奶,
water,水,
coffee,咖啡,
tea,茶,
rice,米饭,
meat,肉,
vegetable,蔬菜,
fruit,水果,
cheese,奶酪,
table,桌子,
chair,椅子,
book,书,
pen,笔,
computer,电脑,
phone,电话,
car,汽车,
house,房子,
door,门,
window,窗户,
key,钥匙,
knife,刀,
plate,盘子,
cup,杯子,
love,爱,
hate,恨,
happiness,快乐,
sadness,悲伤,
anger,愤怒,
fear,恐惧,
hope,希望,
beauty,美丽,
truth,真相,
justice,正义,
freedom,自由,
peace,和平,
bright,明亮,
dark,黑暗,
light,轻,
pale,苍白,
big,大,
small,小,
large,大,
tiny,微小,
huge,巨大,
enormous,巨大,
medium,中等,
thick,厚,
thin,薄,
wide,宽,
narrow,窄,
tall,高,
short,短,
long,长,
hot,热,
cold,冷,
warm,温暖,
cool,凉爽,
freezing,冰冻,
boiling,沸腾,
lukewarm,温热,
sweet,甜,
sour,酸,
bitter,苦,
salty,咸,
spicy,辣,
mild,温和,
sharp,尖,
bland,清淡,
smooth,光滑,
rough,粗糙,
soft,软,
hard,硬,
wet,湿的,
dry,干的,
sticky,粘的,
slippery,滑的,
bumpy,颠簸的,
flat,平的,
round,圆的,
triangular,三角形的,
curved,弯曲的,
straight,直的,
pointed,尖的,
blunt,钝的,
deep,深的,
shallow,浅的,
happy,高兴的,
sad,伤心的,
angry,生气的,
calm,冷静的,
excited,兴奋的,
bored,无聊的,
nervous,紧张的,
confident,自信的,
shy,害羞的,
brave,勇敢的,
afraid,害怕的,
proud,骄傲的,
ashamed,羞愧的,
good,好的,
bad,坏的,
right,对的,
wrong,错的,
beautiful,美丽的,
ugly,丑的,
fair,公平的,
unfair,不公平的,
honest,诚实的,
dishonest,不诚实的,
kind,善良的,
cruel,残忍的,
generous,慷慨的,
selfish,自私的,
heavy,重的,
strong,强壮的,
weak,弱的,
fast,快的,
slow,慢的,
loud,大声的,
quiet,安静的,
high,高的,
low,低的,
clean,干净,
dirty,脏,
new,新,
old,老,
fresh,新鲜,
stale,不新鲜,
smart,聪明,
stupid,愚蠢,
wise,明智,
foolish,愚蠢,
clever,聪明,
simple,简单,
complex,复杂,
easy,容易,
difficult,困难,
clear,清楚,
confusing,令人困惑,
obvious,明显,
subtle,微妙,
run,跑,
jump,跳,
fly,飞,
swim,游泳,
crawl,爬,
climb,爬,
fall,掉,
rise,上升,
move,移动,
stop,停止,
go,去,
come,来,
enter,进入,
exit,退出,
approach,接近,
retreat,撤退,
give,给,
take,拿,
put,放,
get,得到,
send,发送,
receive,收到,
bring,带来,
carry,携带,
throw,扔,
catch,抓住,
push,推,
pull,拉,
lift,举起,
drop,掉落,
speak,说话,
talk,说话,
say,说,
tell,告诉,
ask,问,
answer,回答,
whisper,低声说,
shout,喊,
sing,唱歌,
write,写,
read,读,
listen,听,
hear,听到,
think,想,
know,知道,
understand,理解,
remember,记住,
forget,忘记,
learn,学习,
believe,相信,
doubt,怀疑,
imagine,想象,
dream,梦想,
decide,决定,
choose,选择,
plan,计划,
solve,解决,
see,看见,
look,看,
watch,观看,
observe,观察,
notice,注意到,
feel,感觉,
touch,触摸,
taste,尝,
smell,闻,
sense,感知,
like,喜欢,
dislike,不喜欢,
enjoy,享受,
worry,担心,
trust,信任,
admire,钦佩,
respect,尊重,
appreciate,欣赏,
meet,见面,
visit,拜访,
help,帮助,
support,支持,
cooperate,合作,
compete,竞争,
fight,打架,
argue,争论,
agree,同意,
disagree,不同意,
share,分享,
join,加入,
leave,离开,
make,做,
create,创造,
build,建造,
construct,建设,
destroy,破坏,
break,打破,
tear,撕,
cut,切,
fix,修理,
repair,修复,
wash,洗,
eat,吃,
drink,喝,
sleep,睡觉,
wake,醒来,
breathe,呼吸,
laugh,笑,
cry,哭,
smile,微笑,
cough,咳嗽,
sneeze,打喷嚏,
become,变成,
turn,转,
grow,长大,
shrink,收缩,
open,打开,
close,关闭,
start,开始,
begin,开始,
finish,完成,
end,结束,
continue,继续,
cause,引起,
force,强迫,
let,让,
allow,允许,
prevent,防止,
enable,启用,
disable,禁用,
influence,影响,
affect,影响,
control,控制,
