english,chinese,human
red,红色,
blue,蓝色,
green,绿色,
yellow,黄色,
orange,橙色,
purple,紫色,
pink,粉色,
brown,棕色,
black,黑色,
white,白色,
gray,灰色,
circle,圆形,
square,正方形,
triangle,三角形,
sphere,球体,
cube,立方体,
point,点,
line,线,
corner,角落,
edge,边,
center,中心,
surface,表面,
dog,狗,
cat,猫,
bird,鸟,
fish,鱼,
horse,马,
cow,牛,
sheep,羊,
pig,猪,
chicken,鸡,
rabbit,兔子,
tiger,老虎,
lion,狮子,
elephant,大象,
mouse,老鼠|鼠,
head,头|头部,
hand,手|手掌,
foot,脚|足,
eye,眼睛|眼,
nose,鼻子|鼻,
mouth,嘴|嘴巴|口,
ear,耳朵|耳,
arm,胳膊|手臂,
leg,腿|腿部,
heart,心脏|心,
brain,大脑|脑,
stomach,胃|肚子,
mother,母亲,
father,父亲,
brother,兄弟,
sister,姐妹,
son,儿子,
daughter,女儿,
grandmother,奶奶|外婆|姥姥,
grandfather,爷爷|外公|姥爷,
uncle,叔叔|伯伯|舅舅,
aunt,阿姨|姑姑|舅妈,
cousin,表兄弟|堂兄弟|表姐妹|堂姐妹,
friend,朋友,
neighbor,邻居,
morning,早上|早晨|上午,
afternoon,下午|午后,
evening,晚上|傍晚,
night,夜晚|夜里|晚上,
day,天|日|白天,
week,星期|周|礼拜,
month,月|月份,
year,年|年份,
hour,小时,
minute,分钟,
second,秒,
past,过去,
present,现在,
future,未来,
apple,苹果,
banana,香蕉,
bread,面包,
milk,牛奶,
water,水,
coffee,咖啡,
tea,茶,
rice,米|米饭,
meat,肉,
vegetable,蔬菜,
fruit,水果,
cheese,奶酪,
table,桌子|桌,
chair,椅子|椅,
book,书|书籍,
pen,笔|钢笔,
computer,电脑|计算机,
phone,电话|手机,
car,汽车|车,
house,房子|房屋|家,
door,门|门口,
window,窗户|窗,
key,钥匙,
knife,刀,
plate,盘子,
cup,杯子,
love,爱|爱情,
hate,恨|仇恨,
happiness,幸福|快乐|欢乐,
sadness,悲伤|伤心,
anger,愤怒|怒,
fear,怕|恐惧,
hope,希望,
beauty,美|美丽,
truth,真理|真相,
justice,正义,
freedom,自由,
peace,和平,
bright,明亮|亮,
dark,黑暗|暗,
light,光|轻|亮,
pale,苍白|白,
big,大|大的,
small,小|小的,
large,大|大的,
tiny,微小|极小,
huge,巨大|巨大的,
enormous,巨大|巨大的|庞大,
medium,中等|中,
thick,厚|厚的,
thin,薄|薄的|瘦,
wide,宽|宽的,
narrow,窄|窄的,
tall,高|高的,
short,短|短的|矮,
long,长|长的,
hot,热|热的,
cold,冷|冷的,
warm,温暖|暖和|暖,
cool,凉爽|凉|冷,
freezing,冰冻,
boiling,沸腾,
lukewarm,温热,
sweet,甜|甜的,
sour,酸|酸的,
bitter,苦|苦的,
salty,咸|咸的,
spicy,辣|辣的,
mild,温和|温和的,
sharp,尖|尖的|锐利,
bland,清淡|淡,
smooth,光滑|滑,
rough,粗糙|粗,
soft,软|软的,
hard,硬|硬的,
wet,湿的|湿,
dry,干的|干,
sticky,粘的|粘,
slippery,滑的|滑,
bumpy,颠簸的|颠簸,
flat,平的|平,
round,圆的|圆,
triangular,三角形的|三角形,
curved,弯曲的|弯曲,
straight,直的|直,
pointed,尖的|尖,
blunt,钝的|钝,
deep,深的|深,
shallow,浅的|浅,
happy,高兴的|高兴,
sad,伤心的|伤心,
angry,生气的|生气,
calm,冷静的|冷静,
excited,兴奋的|兴奋,
bored,无聊的|无聊,
nervous,紧张的|紧张,
confident,自信的|自信,
shy,害羞的|害羞,
brave,勇敢的|勇敢,
afraid,害怕的|害怕,
proud,骄傲的|骄傲,
ashamed,羞愧的|羞愧,
good,好的|好,
bad,坏的|坏,
right,对的|对,
wrong,错的|错,
beautiful,美丽的|美丽,
ugly,丑的|丑,
fair,公平的|公平,
unfair,不公平的|不公平,
honest,诚实的|诚实,
dishonest,不诚实的|不诚实,
kind,善良的|善良,
cruel,残忍的|残忍,
generous,慷慨的|慷慨,
selfish,自私的|自私,
heavy,重的|重,
strong,强壮的|强壮,
weak,弱的|弱,
fast,快的|快,
slow,慢的|慢,
loud,大声的|大声,
quiet,安静的|安静,
high,高的|高,
low,低的|低,
clean,干净|干净的|洁净,
dirty,脏|脏的|肮脏,
new,新|新的|崭新,
old,老|老的|旧|旧的,
fresh,新鲜|新鲜的,
stale,不新鲜|陈旧,
smart,聪明|聪明的,
stupid,愚蠢|愚蠢的|笨,
wise,明智|明智的|智慧,
foolish,愚蠢|愚蠢的|愚昧,
clever,聪明|聪明的|机灵,
simple,简单|简单的,
complex,复杂|复杂的,
easy,容易|容易的|简单,
difficult,困难|难|困难的|艰难,
clear,清楚|清楚的|清晰,
confusing,令人困惑|困惑的|混乱,
obvious,明显|明显的|显然,
subtle,微妙|微妙的|细微,
run,跑|奔跑,
jump,跳|跳跃,
fly,飞|飞行,
swim,游泳|游,
crawl,爬|爬行,
climb,爬|攀登|攀爬,
fall,掉|落|跌|倒,
rise,上升|升|起,
move,移动|动,
stop,停止|停,
go,去|走,
come,来|过来,
enter,进|进入,
exit,退|退出,
approach,接近,
retreat,撤退,
give,给,
take,拿,
put,放,
get,得到|获得|取得,
send,送|发送|寄,
