english,chinese,deepl
honor,荣誉,
respect,尊重,
shame,羞耻,
face,面子,
elder-brother,哥哥,
younger-brother,弟弟,
elder-sister,姐姐,
younger-sister,妹妹,
maternal-uncle,舅舅,
paternal-uncle,叔叔,
teacher,老师,
student,学生,
master,师傅,
apprentice,学徒,
mentor,导师,
seniority,资历,
hierarchy,等级,
equality,平等,
peer,同辈,
superior,上级,
subordinate,下属,
loyalty,忠诚,
betrayal,背叛,
trust,信任,
distrust,不信任,
friend,朋友,
enemy,敌人,
ally,盟友,
rival,对手,
tea-ceremony,茶道,
meditation,冥想,
prayer,祈祷,
ritual,仪式,
festival,节日,
celebration,庆祝,
holiday,假日,
mourning,哀悼,
gift-giving,送礼,
hospitality,好客,
etiquette,礼仪,
custom,习俗,
tradition,传统,
heritage,遗产,
ancestry,祖先,
lineage,世系,
calligraphy,书法,
wedding,婚礼,
funeral,葬礼,
baptism,洗礼,
circumcision,割礼,
initiation,成人礼,
pilgrimage,朝圣,
fasting,斋戒,
feast,盛宴,
self,自我,
identity,身份,
consciousness,意识,
soul,灵魂,
spirit,精神,
fate,命运,
destiny,天命,
karma,因果,
fortune,运气,
luck,幸运,
duty,责任,
obligation,义务,
responsibility,职责,
burden,负担,
virtue,美德,
morality,道德,
ethics,伦理,
righteousness,正义,
enlightenment,觉悟,
wisdom,智慧,
knowledge,知识,
ignorance,无知,
truth,真理,
falsehood,虚假,
reality,现实,
illusion,幻觉,
existence,存在,
nothingness,虚无,
being,存在,
past,过去,
present,现在,
future,未来,
eternity,永恒,
moment,瞬间,
yesterday,昨天,
today,今天,
tomorrow,明天,
week,星期,
month,月,
year,年,
childhood,童年,
youth,青年,
adulthood,成年,
old-age,老年,
beginning,开始,
middle,中间,
end,结束,
cycle,循环,
continuity,连续,
patience,耐心,
urgency,紧迫,
delay,延迟,
punctuality,准时,
dawn,黎明,
noon,中午,
dusk,黄昏,
midnight,午夜,
season,季节,
spring,春天,
summer,夏天,
autumn,秋天,
winter,冬天,
inside,内部,
outside,外部,
boundary,边界,
threshold,门槛,
gateway,大门,
above,上面,
below,下面,
between,之间,
among,当中,
beside,旁边,
north,北,
south,南,
east,东,
west,西,
direction,方向,
distance,距离,
proximity,接近,
closeness,亲近,
remoteness,遥远,
home,家,
homeland,祖国,
foreign,外国,
domestic,国内,
local,当地,
center,中心,
periphery,边缘,
frontier,前沿,
border,边境,
mountain,山,
valley,谷,
river,河,
ocean,海洋,
money,钱,
wealth,财富,
poverty,贫困,
debt,债务,
credit,信用,
buy,买,
sell,卖,
trade,贸易,
barter,以物易物,
exchange,交换,
expensive,昂贵,
cheap,便宜,
valuable,有价值,
worthless,无价值,
profit,利润,
loss,损失,
investment,投资,
savings,储蓄,
work,工作,
labor,劳动,
leisure,休闲,
rest,休息,
retirement,退休,
employment,就业,
unemployment,失业,
career,事业,
profession,职业,
occupation,职业,
king,国王,
emperor,皇帝,
president,总统,
leader,领导,
chief,首领,
power,权力,
authority,权威,
control,控制,
dominance,统治,
submission,服从,
law,法律,
rule,规则,
regulation,规定,
prohibition,禁止,
permission,许可,
obey,服从,
command,命令,
order,命令,
request,请求,
suggest,建议,
freedom,自由,
constraint,约束,
autonomy,自主,
dependence,依赖,
independence,独立,
sovereignty,主权,
democracy,民主,
dictatorship,独裁,
monarchy,君主制,
republic,共和国,
anxiety,焦虑,
stress,压力,
depression,抑郁,
trauma,创伤,
healing,治愈,
pride,骄傲,
humility,谦虚,
arrogance,傲慢,
modesty,谦逊,
envy,嫉妒,
jealousy,妒忌,
admiration,钦佩,
resentment,怨恨,
gratitude,感激,
appreciation,欣赏,
thankfulness,感恩,
loneliness,孤独,
solitude,独处,
companionship,陪伴,
belonging,归属,
grief,悲痛,
mourning,哀悼,
sorrow,忧伤,
melancholy,忧郁,
joy,喜悦,
happiness,幸福,
sadness,悲伤,
anger,愤怒,
fear,恐惧,
courage,勇气,
hope,希望,
despair,绝望,
love,爱,
hate,恨,
passion,激情,
indifference,冷漠,
compassion,同情,
cruelty,残忍,
kindness,善良,
rice,米饭,
bread,面包,
noodles,面条,
soup,汤,
meat,肉,
vegetable,蔬菜,
fruit,水果,
spice,香料,
sweet,甜,
sour,酸,
bitter,苦,
salty,咸,
hot-spicy,辣,
bland,淡,
delicious,美味,
breakfast,早餐,
lunch,午餐,
dinner,晚餐,
sun,太阳,
moon,月亮,
star,星星,
sky,天空,
cloud,云,
rain,雨,
wind,风,
snow,雪,
thunder,雷,
lightning,闪电,
tree,树,
flower,花,
grass,草,
forest,森林,
desert,沙漠,
fire,火,
water,水,
earth,土,
air,空气,
stone,石头,
sand,沙,
music,音乐,
song,歌曲,
dance,舞蹈,
painting,绘画,
sculpture,雕塑,
poetry,诗歌,
literature,文学,
theater,戏剧,
opera,歌剧,
drama,戏剧,
comedy,喜剧,
tragedy,悲剧,
beauty,美,
ugliness,丑,
harmony,和谐,
discord,不和,
rhythm,节奏,
melody,旋律,
education,教育,
school,学校,
university,大学,
learning,学习,
teaching,教学,
reading,阅读,
writing,写作,
examination,考试,
degree,学位,
skill,技能,
talent,天赋,
genius,天才,
head,头,
eye,眼睛,
ear,耳朵,
nose,鼻子,
mouth,嘴,
hand,手,
foot,脚,
heart,心脏,
blood,血,
bone,骨头,
skin,皮肤,
hair,头发,
god,神,
heaven,天堂,
hell,地狱,
angel,天使,
devil,魔鬼,
sin,罪,
salvation,救赎,
faith,信仰,
belief,信念,
worship,崇拜,
sacred,神圣,
profane,亵渎,
temple,寺庙,
mosque,清真寺,
church,教堂,
