english,chinese,deepl
awkward,尴尬,
serendipity,机缘巧合,
nostalgia,怀旧,
schadenfreude,幸灾乐祸,
wanderlust,旅行欲,
zeitgeist,时代精神,
doppelganger,分身,
angst,焦虑,
kitsch,媚俗,
gestalt,格式塔,
yuanfen,缘分,
mianzi,面子,
guanxi,关系,
wu-wei,无为,
yin-yang,阴阳,
saudade,乡愁,
sobremesa,餐后闲聊,
duende,神韵,
hygge,温馨,
lagom,适度,
wabi-sabi,侘寂,
komorebi,木漏れ日,
ikigai,生きがい,
mono-no-aware,物の哀れ,
tsundoku,积读,
han,恨,
jeong,情,
nunchi,눈치,
han-geul,한글,
tarof,客套,
inshallah,如果真主愿意,
ubuntu,人道,
toska,тоска,
mamihlapinatapai,心照不宣,
goya,戈雅,
uitwaaien,吹风散心,
gezellig,惬意,
fernweh,远方渴望,
weltschmerz,世界之痛,
fremdschämen,替人尴尬,
verschlimmbessern,越改越糟,
backpfeifengesicht,欠揍的脸,
torschlusspanik,末班车恐慌,
kummerspeck,悲伤肥肉,
fingerspitzengefühl,指尖感觉,
flâneur,闲逛者,
dépaysement,异乡感,
l-esprit-de-escalier,马后炮,
joie-de-vivre,生活的喜悦,
savoir-faire,处世智慧,
raison-d-être,存在意义,
déjà-vu,似曾相识,
malaise,不安,
ennui,倦怠,
nonchalance,漠不关心,
sang-froid,冷静,
pura-vida,纯粹生活,
mañana,明天心态,
simpatico,讨人喜欢,
dolce-far-niente,甜蜜无为,
bella-figura,美好形象,
sprezzatura,不费力优雅,
meraki,倾注灵魂,
philotimo,荣誉感,
kefi,激情状态,
cafuné,抚摸头发,
desenrascanço,随机应变,
sisu,坚韧,
fika,咖啡时光,
janteloven,平等法则,
koselig,舒适,
arbejdsglæde,工作喜悦,
forelsket,初恋之感,
taarradhin,互相谅解,
kawaakibisha,心有灵犀,
pochemuchka,爱问的孩子,
glasnost,公开透明,
sobornost,集体精神,
razliubit,爱消失,
ya-dong,凉茶药酒,
sanuk,享乐,
sabai,舒适自在,
mai-pen-rai,没关系,
bank-financial,银行,
bank-river,河岸,
spring-season,春天,
spring-water,泉水,
spring-coil,弹簧,
light-illumination,光,
light-weight,轻的,
fair-just,公平,
fair-festival,集市,
fair-pale,白皙,
tear-cry,眼泪,
tear-rip,撕裂,
bow-bend,鞠躬,
bow-weapon,弓,
bass-fish,鲈鱼,
bass-music,低音,
lead-guide,引导,
lead-metal,铅,
minute-time,分钟,
minute-tiny,微小,
desert-arid,沙漠,
desert-abandon,抛弃,
scale-measure,秤,
scale-fish,鱼鳞,
scale-climb,攀登,
bat-animal,蝙蝠,
bat-sports,球棒,
pitcher-baseball,投手,
pitcher-jug,水罐,
watch-timepiece,手表,
watch-observe,观看,
match-game,比赛,
match-fire,火柴,
left-direction,左,
left-departed,离开,
right-direction,右,
right-correct,正确,
wave-ocean,波浪,
wave-gesture,挥手,
bark-tree,树皮,
bark-dog,狗叫,
row-line,行,
row-boat,划船,
gift-english,礼物,
gift-german,毒药,
actual-english,实际,
actual-spanish,当前,
embarrassed-english,尴尬,
embarazada-spanish,怀孕,
preservative-english,防腐剂,
preservativo-spanish,避孕套,
sensible-english,明智,
sensible-french,敏感,
library-english,图书馆,
libreria-spanish,书店,
eventually-english,最终,
eventualmente-spanish,偶尔,
constipated-english,便秘,
constipado-spanish,感冒,
sympathy-english,同情,
simpatia-portuguese,友好,
fabric-english,布料,
fabrica-spanish,工厂,
rope-english,绳子,
ropa-spanish,衣服,
exit-english,出口,
exito-spanish,成功,
parents-english,父母,
parents-french,亲戚,
assist-english,帮助,
assister-french,参加,
attend-english,参加,
atender-spanish,照顾,
coin-english,硬币,
coin-french,角落,
large-english,大,
largo-spanish,长,
realize-english,意识到,
realizar-spanish,实现,
idiom-kick-bucket,去世,
idiom-piece-of-cake,容易,
idiom-raining-cats-dogs,倾盆大雨,
idiom-break-leg,祝好运,
idiom-cost-arm-leg,非常昂贵,
idiom-spill-beans,泄密,
idiom-cold-feet,临阵退缩,
idiom-hit-nail-head,一针见血,
idiom-beat-around-bush,拐弯抹角,
idiom-let-cat-out-bag,泄露秘密,
idiom-under-weather,不舒服,
idiom-once-blue-moon,很少,
idiom-add-insult-injury,雪上加霜,
idiom-barking-up-wrong-tree,找错对象,
idiom-burn-bridges,断绝后路,
