chinese,english,deepl
一,one|unity,
乙,second|twist,
丨,vertical line,
丶,dot|point,
丿,slash|diagonal,
乀,hook left,
乁,hook right,
乚,hook horizontal,
乛,hook turning,
亅,hook vertical,
二,two|pair,
人,person|human,
亻,person radical,
刀,knife|blade,
刂,knife radical,
匕,spoon|dagger,
卜,divination|fortune,
冫,ice|cold,
又,again|hand,
儿,legs|child,
八,eight|divide,
入,enter|inside,
十,ten|complete,
厂,cliff|factory,
力,strength|power,
几,small table,
厶,private|self,
丷,divide|separate,
亠,lid|cover,
冂,frame|border,
冖,cover|roof,
凵,container|vessel,
⺈,small,
勹,wrap|embrace,
匚,box|container,
匸,hide|conceal,
卩,seal|joint,
㔾,ancient form,
讠,speech radical,
乂,cross|multiply,
丁,nail|adult,
七,seven,
乃,then|therefore,
九,nine,
了,complete|finish,
⺀,ancient variant,
龴,ancient form,
⺁,ancient variant,
刁,cunning|sly,
宀,roof|house,
口,mouth|opening,
土,earth|soil,
士,scholar|gentleman,
大,big|great,
女,woman|female,
子,child|offspring,
小,small|little,
山,mountain|hill,
川,river|stream,
工,work|craft,
巾,cloth|towel,
弓,bow|arch,
飞,fly|flight,
马,horse|fast,
巛,river|flow,
夕,evening|sunset,
尸,corpse|body,
己,self|oneself,
干,dry|stem,
幺,tiny|thread,
广,building|shelter,
廾,hands|together,
弋,arrow|shoot,
忄,heart|emotion,
扌,hand|action,
氵,water|flow,
囗,enclosure|surround,
寸,inch|measure,
彡,hair|pattern,
彳,step|walk,
夂,slow|gradual,
夊,walk|movement,
尢,lame|defect,
屮,sprout|grow,
廴,long stride,
彐,snout|pig,
彑,pig head,
丬,half tree,
艹,grass|plant,
辶,walk|road,
阝,mound|place,
饣,food radical,
犭,animal|beast,
门,door|gate,
三,three,
上,up|above,
下,down|below,
万,ten thousand,
义,righteousness,
之,possessive particle,
习,practice|learn,
于,at|in,
亡,death|lose,
刃,blade|edge,
勺,spoon|ladle,
千,thousand,
及,reach|and,
乡,village|countryside,
才,talent|just,
兀,bald|突出,
与,give|with,
也,also|too,
叉,fork|cross,
亍,step|pace,
丈,measure|elder,
个,individual|piece,
丸,round|pill,
久,long time,
亏,loss|deficit,
⺌,ice variant,
⺍,small variant,
⻏,mound variant,
么,what|small,
乞,beg|request,
已,already|stop,
爻,hexagram line,
戈,halberd|weapon,
户,door|household,
文,writing|culture,
斗,fight|measure,
斤,axe|catty,
日,sun|day,
月,moon|month,
木,tree|wood,
比,compare|ratio,
气,air|breath,
水,water|flow,
火,fire|flame,
父,father,
牛,cow|bull,
牜,cow radical,
犬,dog|hunt,
王,king|jade,
贝,shell|treasure,
车,vehicle|wheel,
风,wind|style,
毋,do not,
戶,door variant,
灬,fire dots,
方,square|direction,
曰,say|speak,
止,stop|foot,
歹,bad|evil,
氏,clan|surname,
片,slice|piece,
爿,half tree,
见,see|meet,
长,long|grow,
韦,leather|soft,
殳,weapon|strike,
礻,spirit radical,
心,heart|mind,
手,hand|grasp,
无,without|not have,
毛,hair|fur,
爪,claw|talon,
爫,claw variant,
牙,tooth|fang,
瓦,tile|pottery,
支,support|branch,
欠,owe|lack,
禸,track|trace,
⺩,jade variant,
礻,show variant,
攵,strike|tap,
攴,strike variant,
罓,net|network,
耂,old|elderly,
不,not|no,
丑,ugly|second,
中,middle|center,
丰,abundant|plentiful,
云,cloud|say,
井,well|pit,
公,public|fair,
内,inside|within,
分,divide|part,
友,friend,
天,sky|heaven,
夫,husband|man,
少,few|little,
旡,choke|obstruct,
专,special|focus,
为,do|become,
五,five,
今,now|today,
介,introduce|between,
仓,warehouse|granary,
以,use|by,
元,origin|first,
六,six,
勿,do not|must not,
区,area|region,
午,noon|horse,
屯,station|gather,
巴,desire|hope,
太,too|very,
尺,ruler|foot,
乌,crow|black,
亢,resist|raised,
冈,ridge|hill,
匀,even|uniform,
匹,match|horse,
升,rise|liter,
尤,especially|blame,
巨,huge|giant,
凶,fierce|evil,
办,do|handle,
开,open|start,
朩,tree variant,
⺧,heart variant,
勾,hook|seduce,
母,mother,
生,birth|life,
田,field|farm,
皿,dish|plate,
目,eye|see,
矢,arrow|oath,
石,stone|rock,
示,show|reveal,
禾,grain|crop,
鸟,bird|fly,
衤,clothing radical,
玉,jade|precious,
甘,sweet|willing,
用,use|employ,
白,white|clear,
立,stand|establish,
龙,dragon|imperial,
钅,metal radical,
瓜,melon|gourd,
矛,spear|lance,
玄,dark|mysterious,
皮,skin|leather,
穴,cave|hole,
氺,water variant,
疋,foot|bolt,
疒,sickness radical,
癶,footsteps,
罒,net|eye,
乍,sudden|work,
丙,third|fire,
乐,music|joy,
兄,elder brother,
四,four,
央,center|middle,
它,it|other,
甲,armor|first,
刍,grass|fodder,
戋,small|narrow,
且,and|moreover,
丘,hill|mound,
业,business|karma,
东,east,
乎,question particle,
令,order|command,
冬,winter,
出,exit|produce,
包,wrap|package,
北,north,
占,occupy|divine,
去,go|leave,
