chinese,english,human
一,one|unity|first,
乙,second|twist,
#丨,vertical line,
#丶,dot|point,
#丿,slash|diagonal,
#乀,hook left,
#乁,hook right,
#乚,hook horizontal,
#乛,hook turning,
#亅,hook vertical,
二,two|pair|second,
人,person|human,
亻,person radical,
刀,knife|blade,
刂,knife radical,
匕,spoon|dagger,
卜,divination|fortune,
冫,ice|cold,
又,again|hand,
儿,child,
八,eight|divide|eighth,
入,enter|inside,
十,ten|complete|tenth,
厂,cliff|factory,
力,strength|power,
几,small table|how many,
厶,private|self,
丷,divide radical,
亠,lid|cover,
冂,frame|border,
冖,cover|roof,
凵,container|vessel,
#⺈,small,
勹,wrap|embrace,
匚,box|container,
匸,hide|conceal,
卩,seal|joint,
# 㔾,ancient form,
讠,speech radical,
乂,cross|multiply,
丁,nail|adult,
七,seven|seventh,
乃,then|therefore,
九,nine|ninth,
了,complete|finish,
#⺀,ancient variant,
#龴,ancient form,
#⺁,ancient variant,
刁,cunning|sly,
宀,roof|house radical,
口,mouth|opening,
土,earth|soil|ground,
士,scholar|gentleman|soldier,
大,big|great|huge,
女,woman|female,
子,child|offspring|seed,
小,small|little,
山,mountain|hill,
川,river|stream,
工,work|craft,
巾,cloth|towel,
弓,bow|arch,
飞,fly|flight,
马,horse|fast,
巛,flow,
夕,evening|sunset,
尸,corpse|body,
己,self|oneself,
干,dry|stem|do,
幺,tiny|thread,
广,building|shelter|broad,
廾,hands|together,
弋,arrow|shoot,
忄,heart|emotion|mental radical,
扌,hand radical|action,
氵,water radical|flow,
囗,enclosure|surround,
寸,inch|measure,
彡,hair radical|pattern,
彳,step|walk radical,
夂,slow|gradual radical,
夊,walk|movement radical,
尢,lame|defect,
屮,sprout|grow|grass radical,
廴,long stride|extension radical,
彐,snout|pig,
彑,pig head,
丬,half tree,
艹,grass radical|plant,
辶,walk radical|road,
阝,mound|place radical,
饣,food radical,
犭,animal|beast radical,
门,door radical|gate,
三,three|third,
上,up|above|rise,
下,down|below|fall,
万,ten thousand|many,
义,righteousness,
之,possessive particle,
习,practice|learn,
于,at|in|on,
亡,death|lose|disappear,
刃,blade|edge,
勺,spoon|ladle,
千,thousand,
及,reach|and,
乡,village|countryside,
才,talent|just,
兀,plateau|towering,
与,give|with,
也,also|too,
叉,fork|cross,
亍,step|pace radical,
丈,measure|elder,
个,individual|piece,
丸,round|pill,
久,long time,
亏,loss|deficit,
#⺌,ice variant,
#⺍,small variant,
⻏,mound radical,
么,what|small,
乞,beg|request,
已,already|stop,
爻,hexagram line,
戈,dagger|axe|weapon,
户,door|household,
文,writing|culture|civilization,
斗,fight|measure,
斤,axe|catty,
日,sun|day,
月,moon|month|flesh radical,
木,tree|wood,
比,compare|ratio,
气,air|breath,
