id,word,domain,type,tier,language,nsm_prime_ref,nsm_prime_group,position
1747,a long time,temporal,other,1,ENU,,TIME,0
1776,a short time,temporal,other,1,ENU,,TIME,0
1924,above,spatial,other,1,ENU,,SPACE,0
1716,after,temporal,other,1,ENU,,TIME,0
559,all,quantity,determiner,1,ENU,,QUANTIFIERS,0
707,bad,evaluation,adjective,1,ENU,,EVALUATORS,0
1516,be mine,existence,other,1,ENU,,LOCATION_EXISTENCE,0
1482,be something,existence,verb,1,ENU,,LOCATION_EXISTENCE,0
1420,be somewhere,existence,other,1,ENU,,LOCATION_EXISTENCE,0
2241,because,logic,conjunction,1,ENU,,LOGICAL_CONCEPTS,0
1684,before,temporal,other,1,ENU,,TIME,0
1956,below,spatial,other,1,ENU,,SPACE,0
752,big,property,adjective,1,ENU,,DESCRIPTORS,0
238,body,entity,noun,1,ENU,,SUBSTANTIVES,0
2207,can,logic,conjunction,1,ENU,,LOGICAL_CONCEPTS,0
1585,die,life,verb,1,ENU,,LIFE_DEATH,0
1295,do,action,verb,1,ENU,,ACTIONS_EVENTS_MOVEMENT,0
1015,dont want,cognition,verb,1,ENU,,MENTAL_PREDICATES,0
1987,far,spatial,other,1,ENU,,SPACE,0
1047,feel,cognition,verb,1,ENU,,MENTAL_PREDICATES,0
1805,for some time,temporal,other,1,ENU,,TIME,0
658,good,evaluation,adjective,1,ENU,,EVALUATORS,0
1339,happen,action,verb,1,ENU,,ACTIONS_EVENTS_MOVEMENT,0
1135,hear,cognition,verb,1,ENU,,MENTAL_PREDICATES,0
1896,here,spatial,other,1,ENU,,SPACE,0
1,i,entity,noun,1,ENU,,SUBSTANTIVES,0
2278,if,logic,conjunction,1,ENU,,LOGICAL_CONCEPTS,0
2080,inside,spatial,other,1,ENU,,SPACE,0
279,kind,relation,noun,1,ENU,,RELATIONAL_SUBSTANTIVES,0
905,know,cognition,verb,1,ENU,,MENTAL_PREDICATES,0
2377,like,comparison,other,1,ENU,,SIMILARITY,0
626,little few,quantity,determiner,1,ENU,,QUANTIFIERS,0
1547,live,life,adjective,1,ENU,,LIFE_DEATH,0
2178,maybe,logic,conjunction,1,ENU,,LOGICAL_CONCEPTS,0
1832,moment,temporal,other,1,ENU,,TIME,0
2343,more,degree,adverb,1,ENU,,INTENSIFIER_AUGMENTOR,0
