word,domain,type,notes,cultural_context
# Core semantic domains for cultural comparison across CHN/JPN/KOR/VIE
# ICML-2026: Dimensionality of Meaning framework

# Numbers (universal concepts)
一,numbers,abstract,cultural_universal,one
二,numbers,abstract,cultural_universal,two
三,numbers,abstract,cultural_universal,three
四,numbers,abstract,cultural_universal,four
五,numbers,abstract,cultural_universal,five
六,numbers,abstract,cultural_universal,six
七,numbers,abstract,cultural_universal,seven
八,numbers,abstract,cultural_universal,eight
九,numbers,abstract,cultural_universal,nine
十,numbers,abstract,cultural_universal,ten

# Family hierarchy (Confucian cultural system)
父亲,family_kinship,content,confucian_hierarchy,father
母亲,family_kinship,content,confucian_hierarchy,mother
儿子,family_kinship,content,confucian_hierarchy,son
女儿,family_kinship,content,confucian_hierarchy,daughter
祖父,family_kinship,content,confucian_hierarchy,grandfather
祖母,family_kinship,content,confucian_hierarchy,grandmother
兄弟,family_kinship,content,confucian_hierarchy,brother
姐妹,family_kinship,content,confucian_hierarchy,sister

# Traditional wisdom concepts
智慧,abstract_qualities,abstract,cultural_wisdom,wisdom
勇气,abstract_qualities,abstract,cultural_wisdom,courage
诚实,abstract_qualities,abstract,cultural_wisdom,honesty
谦虚,abstract_qualities,abstract,cultural_wisdom,humility
尊敬,abstract_qualities,abstract,cultural_wisdom,respect
和谐,abstract_qualities,abstract,cultural_wisdom,harmony
平静,abstract_qualities,abstract,cultural_wisdom,peace
正义,abstract_qualities,abstract,cultural_wisdom,justice

# Nature elements (Five Elements + universal)
金,nature_elements,content,five_elements,metal
木,nature_elements,content,five_elements,wood
水,nature_elements,content,five_elements,water
火,nature_elements,content,five_elements,fire
土,nature_elements,content,five_elements,earth
太阳,nature_elements,content,cultural_universal,sun
月亮,nature_elements,content,cultural_universal,moon
星星,nature_elements,content,cultural_universal,star
山,nature_elements,content,cultural_universal,mountain
河,nature_elements,content,cultural_universal,river

# Body parts (universal concepts)
头,body_parts,content,cultural_universal,head
眼睛,body_parts,content,cultural_universal,eye
鼻子,body_parts,content,cultural_universal,nose
嘴,body_parts,content,cultural_universal,mouth
手,body_parts,content,cultural_universal,hand
脚,body_parts,content,cultural_universal,foot
心,body_parts,content,cultural_universal,heart

# Animals (cultural significance)
龙,animals,content,cultural_symbol,dragon
凤凰,animals,content,cultural_symbol,phoenix
虎,animals,content,cultural_symbol,tiger
狮子,animals,content,cultural_symbol,lion
猫,animals,content,cultural_universal,cat
狗,animals,content,cultural_universal,dog
鸟,animals,content,cultural_universal,bird
鱼,animals,content,cultural_universal,fish

# Colors (cultural meanings)
红色,colors,abstract,cultural_symbol,red
黄色,colors,abstract,cultural_symbol,yellow
蓝色,colors,abstract,cultural_universal,blue
绿色,colors,abstract,cultural_universal,green
白色,colors,abstract,cultural_symbol,white
黑色,colors,abstract,cultural_symbol,black
金色,colors,abstract,cultural_symbol,gold

# Emotions (universal)
快乐,emotions,content,cultural_universal,happy
悲伤,emotions,content,cultural_universal,sad
愤怒,emotions,content,cultural_universal,angry
恐惧,emotions,content,cultural_universal,fear
爱,emotions,content,cultural_universal,love
喜悦,emotions,content,cultural_universal,joy

# Time concepts
年,time_temporal,content,cultural_universal,year
月,time_temporal,content,cultural_universal,month
日,time_temporal,content,cultural_universal,day
春天,time_temporal,content,cultural_universal,spring
夏天,time_temporal,content,cultural_universal,summer
秋天,time_temporal,content,cultural_universal,autumn
冬天,time_temporal,content,cultural_universal,winter

# Food (cultural specific)
米饭,food,content,cultural_staple,rice
面条,food,content,cultural_staple,noodles
饺子,food,content,cultural_dish,dumplings
茶,food,content,cultural_beverage,tea
酒,food,content,cultural_beverage,alcohol
豆腐,food,content,cultural_ingredient,tofu

# Actions (universal)
走,actions_verbs,content,cultural_universal,walk
跑,actions_verbs,content,cultural_universal,run
吃,actions_verbs,content,cultural_universal,eat
喝,actions_verbs,content,cultural_universal,drink
睡,actions_verbs,content,cultural_universal,sleep
学习,actions_verbs,content,cultural_value,study
工作,actions_verbs,content,cultural_universal,work

# Spatial concepts
上,spatial_directional,abstract,cultural_universal,up
下,spatial_directional,abstract,cultural_universal,down
左,spatial_directional,abstract,cultural_universal,left
右,spatial_directional,abstract,cultural_universal,right
中心,spatial_directional,abstract,cultural_concept,center
东,spatial_directional,abstract,cultural_universal,east
西,spatial_directional,abstract,cultural_universal,west
南,spatial_directional,abstract,cultural_universal,south
北,spatial_directional,abstract,cultural_universal,north
