english,chinese,spanish,human
aunt,阿姨|姑姑|姨妈|舅妈,tía,
bachelor,单身汉|光棍,soltero|solterón,
boy,男孩|男童,niño|chico,
boyfriend,男朋友|男友,novio,
bride,新娘,novia,
bridegroom,新郎,novio,
brother,兄弟|哥哥|弟弟,hermano,
daughter,女儿,hija,
daughter-in-law,儿媳|媳妇,nuera|yerna,
father,父亲|爸爸|父,padre|papá,
father-in-law,岳父|公公,suegro,
gentleman,绅士|君子,caballero|señor,
girl,女孩|女童,niña|chica,
girlfriend,女朋友|女友,novia,
godfather,教父|干爹,padrino,
godmother,教母|干妈,madrina,
granddaughter,孙女|外孙女,nieta,
grandfather,祖父|爷爷|外公,abuelo,
grandmother,祖母|奶奶|外婆,abuela,
grandson,孙子|外孙,nieto,
husband,丈夫|夫|老公,esposo|marido,
lady,女士|淑女,dama|señora,
landlady,女房东,casera|arrendadora,
landlord,房东,casero|arrendador,
man,男人|男子,hombre|varón,
mother,母亲|妈妈|母,madre|mamá,
mother-in-law,岳母|婆婆,suegra,
nephew,侄子|外甥,sobrino,
niece,侄女|外甥女,sobrina,
sister,姐妹|姐姐|妹妹,hermana,
son,儿子,hijo,
son-in-law,女婿,yerno,
spinster,老处女|剩女,soltera|solterona,
stepfather,继父,padrastro,
stepmother,继母,madrastra,
uncle,叔叔|伯父|舅舅|姑父,tío,
widow,寡妇,viuda,
widower,鳏夫,viudo,
wife,妻子|妻|老婆,esposa|mujer,
woman,女人|女子,mujer,
