relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-021,royalty,king,queen,国王,王后,rey,reina,gendered_pair,pending,
NeurIPS-RA-022,royalty,prince,princess,王子,公主,príncipe,princesa,gendered_pair,pending,
NeurIPS-RA-023,royalty,lord,lady,领主,夫人,señor,señora,gendered_pair,pending,
NeurIPS-RA-024,royalty,duke,duchess,公爵,公爵夫人,duque,duquesa,gendered_pair,pending,
NeurIPS-RA-025,royalty,emperor,empress,皇帝,皇后,emperador,emperatriz,gendered_pair,pending,
NeurIPS-RA-026,royalty,master,mistress,主人,女主人,amo,ama,gendered_pair,pending,
NeurIPS-RA-027,royalty,baron,baroness,男爵,男爵夫人,barón,baronesa,gendered_pair,pending,
NeurIPS-RA-028,royalty,count,countess,伯爵,伯爵夫人,conde,condesa,gendered_pair,pending,
NeurIPS-RA-029,royalty,marquis,marchioness,侯爵,侯爵夫人,marqués,marquesa,gendered_pair,pending,
NeurIPS-RA-030,royalty,tsar,tsarina,沙皇,沙皇皇后,zar,zarina,gendered_pair,pending,
NeurIPS-RA-031,royalty,sir,madam,先生,女士,señor,señora,gendered_pair,pending,
NeurIPS-RA-032,royalty,heir,heiress,继承人,女继承人,heredero,heredera,gendered_pair,pending,
NeurIPS-RA-033,royalty,governor,governess,总督,女总督,gobernador,gobernadora,gendered_pair,pending,
NeurIPS-RA-034,royalty,god,goddess,神,女神,dios,diosa,gendered_pair,pending,
NeurIPS-RA-035,royalty,czar,czarina,沙皇,沙皇后,zar,zarina,gendered_pair,pending,
