english,chinese,spanish,human
baron,男爵,barón,
baroness,女男爵,baronesa,
count,伯爵,conde,
countess,女伯爵,condesa,
czar,沙皇,zar,
czarina,女沙皇,zarina,
duchess,公爵夫人|女公爵,duquesa,
duke,公爵,duque,
emperor,皇帝|帝,emperador,
empress,皇后|女皇,emperatriz,
god,神|上帝,dios,
goddess,女神,diosa,
governess,女家庭教师,institutriz|gobernanta,
governor,州长|总督,gobernador,
heir,继承人|嗣子,heredero,
heiress,女继承人,heredera,
king,国王|王,rey,
lady,女士|淑女,dama|señora,
lord,领主|勋爵,señor|lord,
madam,夫人|女士,señora|madame,
marchioness,侯爵夫人,marquesa,
marquis,侯爵,marqués,
master,主人|大师,maestro|amo,
mistress,女主人|情妇,amante|señora,
prince,王子|亲王,príncipe,
princess,公主|王妃,princesa,
queen,王后|女王,reina,
sir,先生|爵士,señor|sir,
tsar,沙皇,zar,
tsarina,女沙皇,zarina,
