relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,word1_de,word2_de,word1_tr,word2_tr,relation_type,verified,notes
NeurIPS-RA-021,royalty,king,queen,国王,王后,rey,reina,König,Königin,kral,kraliçe,gendered_pair,pending,
NeurIPS-RA-022,royalty,prince,princess,王子,公主,príncipe,princesa,Prinz,Prinzessin,prens,prenses,gendered_pair,pending,
NeurIPS-RA-023,royalty,lord,lady,领主,夫人,señor,señora,Herr,Dame,lord,leydi,gendered_pair,pending,
NeurIPS-RA-024,royalty,duke,duchess,公爵,公爵夫人,duque,duquesa,Herzog,Herzogin,dük,düşes,gendered_pair,pending,
NeurIPS-RA-025,royalty,emperor,empress,皇帝,皇后,emperador,emperatriz,Kaiser,Kaiserin,imparator,imparatoriçe,gendered_pair,pending,
NeurIPS-RA-026,royalty,master,mistress,主人,女主人,amo,ama,Meister,Meisterin,efendi,hanım,gendered_pair,pending,
NeurIPS-RA-027,royalty,baron,baroness,男爵,男爵夫人,barón,baronesa,Baron,Baronin,baron,barones,gendered_pair,pending,
NeurIPS-RA-028,royalty,count,countess,伯爵,伯爵夫人,conde,condesa,Graf,Gräfin,kont,kontes,gendered_pair,pending,
NeurIPS-RA-029,royalty,marquis,marchioness,侯爵,侯爵夫人,marqués,marquesa,Marquis,Marquise,markiz,markiz,gendered_pair,pending,
NeurIPS-RA-030,royalty,tsar,tsarina,沙皇,沙皇皇后,zar,zarina,Zar,Zarin,çar,çariçe,gendered_pair,pending,
NeurIPS-RA-031,royalty,sir,madam,先生,女士,señor,señora,Herr,Frau,bay,bayan,gendered_pair,pending,
NeurIPS-RA-032,royalty,heir,heiress,继承人,女继承人,heredero,heredera,Erbe,Erbin,varis,varis,gendered_pair,pending,
NeurIPS-RA-033,royalty,governor,governess,总督,女总督,gobernador,gobernadora,Gouverneur,Gouverneurin,vali,vali,gendered_pair,pending,
NeurIPS-RA-034,royalty,god,goddess,神,女神,dios,diosa,Gott,Göttin,tanrı,tanrıça,gendered_pair,pending,
NeurIPS-RA-035,royalty,czar,czarina,沙皇,沙皇后,zar,zarina,Zar,Zarin,çar,çariçe,gendered_pair,pending,duplicate of tsar/tsarina
NeurIPS-RA-036,royalty,sultan,sultana,苏丹,苏丹娜,sultán,sultana,Sultan,Sultanin,sultan,sultana,gendered_pair,pending,
NeurIPS-RA-037,royalty,caliph,caliphah,哈里发,女哈里发,califa,califa,Kalif,Kalifin,halife,halife,gendered_pair,pending,
NeurIPS-RA-038,royalty,archduke,archduchess,大公,大公夫人,archiduque,archiduquesa,Erzherzog,Erzherzogin,arşidük,arşidüşes,gendered_pair,pending,
NeurIPS-RA-039,royalty,viscount,viscountess,子爵,子爵夫人,vizconde,vizcondesa,Vicomte,Vicomtesse,vikont,vikontes,gendered_pair,pending,
NeurIPS-RA-040,royalty,earl,countess,伯爵,伯爵夫人,conde,condesa,Earl,Countess,kont,kontes,gendered_pair,pending,British variant of count
NeurIPS-RA-041,royalty,pharaoh,queen pharaoh,法老,女法老,faraón,faraona,Pharao,Pharaonin,firavun,firavun,gendered_pair,pending,
NeurIPS-RA-042,royalty,monarch,monarch queen,君主,女君主,monarca,monarca,Monarch,Monarchin,hükümdar,hükümdar,gendered_pair,pending,
