english,chinese,spanish,german,turkish,human
king,国王,rey,König,kral,
queen,王后,reina,Königin,kraliçe,
prince,王子,príncipe,Prinz,prens,
princess,公主,princesa,Prinzessin,prenses,
lord,领主,señor,Herr,lord,
lady,夫人,señora,Dame,leydi,
duke,公爵,duque,Herzog,dük,
duchess,公爵夫人,duquesa,Herzogin,düşes,
emperor,皇帝,emperador,Kaiser,imparator,
empress,皇后,emperatriz,Kaiserin,imparatoriçe,
master,主人,amo,Meister,efendi,
mistress,女主人,ama,Meisterin,hanım,
baron,男爵,barón,Baron,baron,
baroness,男爵夫人,baronesa,Baronin,barones,
count,伯爵,conde,Graf,kont,
countess,伯爵夫人,condesa,Gräfin,kontes,
marquis,侯爵,marqués,Marquis,markiz,
marchioness,侯爵夫人,marquesa,Marquise,markiz,
tsar,沙皇,zar,Zar,çar,
tsarina,沙皇皇后,zarina,Zarin,çariçe,
sir,先生,señor,Herr,bay,
madam,女士,señora,Frau,bayan,
heir,继承人,heredero,Erbe,varis,
heiress,女继承人,heredera,Erbin,varis,
governor,总督,gobernador,Gouverneur,vali,
governess,女总督,gobernadora,Gouverneurin,vali,
god,神,dios,Gott,tanrı,
goddess,女神,diosa,Göttin,tanrıça,
czar,沙皇,zar,Zar,çar,
czarina,沙皇后,zarina,Zarin,çariçe,
sultan,苏丹,sultán,Sultan,sultan,
sultana,苏丹娜,sultana,Sultanin,sultana,
caliph,哈里发,califa,Kalif,halife,
caliphah,女哈里发,califa,Kalifin,halife,
archduke,大公,archiduque,Erzherzog,arşidük,
archduchess,大公夫人,archiduquesa,Erzherzogin,arşidüşes,
viscount,子爵,vizconde,Vicomte,vikont,
viscountess,子爵夫人,vizcondesa,Vicomtesse,vikontes,
earl,伯爵,conde,Earl,kont,
pharaoh,法老,faraón,Pharao,firavun,
queen pharaoh,女法老,faraona,Pharaonin,firavun,
monarch,君主,monarca,Monarch,hükümdar,
monarch queen,女君主,monarca,Monarchin,hükümdar,
nobleman,贵族,noble,Adliger,asil,
noblewoman,女贵族,noble,Adlige,asil,
courtier,朝臣,cortesano,Höfling,saray görevlisi,
courtesan,女朝臣,cortesana,Höflingsdame,saray görevlisi,
sovereign,君王,soberano,Herrscher,hükümdar,
sovereign queen,女君王,soberana,Herrscherin,hükümdar,
regent,摄政王,regente,Regent,naip,
regent queen,女摄政王,regenta,Regentin,naibe,
chancellor,大臣,canciller,Kanzler,başbakan,
lady chancellor,女大臣,canciller,Kanzlerin,başbakan,
viceroy,总督,virrey,Vizekönig,kral vekili,
vicereine,女总督,virreina,Vizekönigin,kraliçe vekili,
crown prince,太子,príncipe heredero,Kronprinz,veliaht prens,
crown princess,太子妃,princesa heredera,Kronprinzessin,veliaht prenses,
grand duke,大公,gran duque,Großherzog,büyük dük,
grand duchess,大公夫人,gran duquesa,Großherzogin,büyük düşes,
knight,骑士,caballero,Ritter,şövalye,
dame,女爵士,dama,Dame,leydi,
esquire,乡绅,escudero,Knappe,asilzade,
shogun,将军,shogun,Shogun,şogun,
onna-musha,女武士,onna-musha,Onna-musha,onna-musha,
khan,可汗,kan,Khan,han,
khatun,可敦,katún,Khatun,hatun,
maharaja,大君,maharajá,Maharadscha,maharaca,
maharani,王妃,maharaní,Maharani,maharani,
raja,拉贾,rajá,Raja,raca,
rani,拉尼,raní,Rani,rani,
chief,酋长,jefe,Häuptling,şef,
chieftess,女酋长,jefa,Häuptlingin,şef,
laird,领主,señor,Laird,laird,
lady laird,女领主,señora,Lady,leydi,
thane,贵族,noble,Thane,thane,
lady thane,女贵族,noble,Lady Thane,leydi thane,
emir,埃米尔,emir,Emir,emir,
emira,女埃米尔,emira,Emira,emire,
sheikh,谢赫,jeque,Scheich,şeyh,
sheikha,女谢赫,jequesa,Scheichin,şeyha,
mikado,天皇,mikado,Mikado,mikado,
daimyo,大名,daimio,Daimyo,daimyo,
onna-daimyo,女大名,daimio,Onna-daimyo,onna-daimyo,
samurai,武士,samurái,Samurai,samuray,
onna-bugeisha,女武士,onna-bugeisha,Onna-bugeisha,onna-bugeisha,
palatine,宫廷伯爵,palatino,Pfalzgraf,saray kontu,
palatine lady,女宫廷伯爵,palatina,Pfalzgräfin,saray kontesi,
margrave,边疆伯爵,margrave,Markgraf,markgraf,
margravine,边疆伯爵夫人,margravina,Markgräfin,markgrafin,
landgrave,地方伯爵,landgrave,Landgraf,landgraf,
landgravine,地方伯爵夫人,landgravina,Landgräfin,landgrafin,
burgrave,城堡伯爵,burgrave,Burggraf,kale kontu,
burgravine,城堡伯爵夫人,burgravina,Burggräfin,kale kontesi,
elector,选帝侯,elector,Kurfürst,seçmen prens,
electress,选帝侯夫人,electora,Kurfürstin,seçmen prenses,
hospodar,领主,hospodar,Hospodar,hospodar,
lady hospodar,女领主,hospodar,Hospodar,hospodar,
