english,chinese,spanish,human
billy,公山羊,macho cabrío,
bitch,母狗,perra,
boar,公猪|野猪,verraco|jabalí,
buck,公鹿|雄兔,ciervo|conejo macho,
bull,公牛,toro,
cat,猫,gato,
colt,小公马,potro,
cow,母牛|奶牛,vaca,
doe,母鹿|雌兔,cierva|coneja,
dog,狗,perro,
drake,公鸭,pato,
duck,鸭,pato,
ewe,母羊,oveja,
filly,小母马,potranca,
gander,公鹅,ganso,
goose,鹅,ganso,
hen,母鸡,gallina,
lion,狮子|雄狮,león,
lioness,母狮,leona,
mare,母马,yegua,
nanny,母山羊,cabra,
peacock,孔雀|雄孔雀,pavo real,
peahen,雌孔雀,pava real,
ram,公羊,carnero,
rooster,公鸡,gallo,
sow,母猪,cerda|puerca,
stallion,种马|公马,semental|caballo,
tiger,老虎|雄虎,tigre,
tigress,母老虎|雌虎,tigresa,
tom,公猫|雄猫,gato,
