english,chinese,spanish,human
February,,,
January,,,
March,,,
Monday,,,
Tuesday,,,
Wednesday,,,
afternoon,下午,tarde,
autumn,秋天|秋季,otoño,
evening,傍晚|晚上,tarde|noche,
first,第一|首先,primero,
five,五|5,cinco,
four,四|4,cuatro,
hundred,百|一百,cien|ciento,
million,百万|一百万,millón,
morning,早上|上午,mañana,
one,一|1,uno,
second,第二|秒,segundo,
six,六|6,seis,
spring,春天|春季,primavera,
summer,夏天|夏季,verano,
ten,十|10,diez,
third,第三,tercero,
thousand,千|一千,mil,
three,三|3,tres,
today,今天,hoy,
tomorrow,明天,mañana,
two,二|两|2,dos,
yesterday,昨天,ayer,
