relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-106,sequential,one,two,一,二,uno,dos,numeric_sequence,pending,
NeurIPS-RA-107,sequential,two,three,二,三,dos,tres,numeric_sequence,pending,
NeurIPS-RA-108,sequential,three,four,三,四,tres,cuatro,numeric_sequence,pending,
NeurIPS-RA-109,sequential,four,five,四,五,cuatro,cinco,numeric_sequence,pending,
NeurIPS-RA-110,sequential,five,six,五,六,cinco,seis,numeric_sequence,pending,
NeurIPS-RA-111,sequential,ten,hundred,十,百,diez,cien,magnitude_increase,pending,
NeurIPS-RA-112,sequential,hundred,thousand,百,千,cien,mil,magnitude_increase,pending,
NeurIPS-RA-113,sequential,thousand,million,千,百万,mil,millón,magnitude_increase,pending,
NeurIPS-RA-114,sequential,first,second,第一,第二,primero,segundo,ordinal_sequence,pending,
NeurIPS-RA-115,sequential,second,third,第二,第三,segundo,tercero,ordinal_sequence,pending,
NeurIPS-RA-116,sequential,Monday,Tuesday,星期一,星期二,lunes,martes,day_sequence,pending,
NeurIPS-RA-117,sequential,Tuesday,Wednesday,星期二,星期三,martes,miércoles,day_sequence,pending,
NeurIPS-RA-118,sequential,January,February,一月,二月,enero,febrero,month_sequence,pending,
NeurIPS-RA-119,sequential,February,March,二月,三月,febrero,marzo,month_sequence,pending,
NeurIPS-RA-120,sequential,morning,afternoon,早上,下午,mañana,tarde,time_sequence,pending,
NeurIPS-RA-121,sequential,afternoon,evening,下午,晚上,tarde,noche,time_sequence,pending,
NeurIPS-RA-122,sequential,spring,summer,春天,夏天,primavera,verano,season_sequence,pending,
NeurIPS-RA-123,sequential,summer,autumn,夏天,秋天,verano,otoño,season_sequence,pending,
NeurIPS-RA-124,sequential,yesterday,today,昨天,今天,ayer,hoy,temporal_sequence,pending,
NeurIPS-RA-125,sequential,today,tomorrow,今天,明天,hoy,mañana,temporal_sequence,pending,
NeurIPS-RA-126,sequential,six,seven,六,七,seis,siete,numeric_sequence,pending,
NeurIPS-RA-127,sequential,seven,eight,七,八,siete,ocho,numeric_sequence,pending,
NeurIPS-RA-128,sequential,eight,nine,八,九,ocho,nueve,numeric_sequence,pending,
NeurIPS-RA-129,sequential,nine,ten,九,十,nueve,diez,numeric_sequence,pending,
NeurIPS-RA-130,sequential,ten,eleven,十,十一,diez,once,numeric_sequence,pending,
NeurIPS-RA-131,sequential,eleven,twelve,十一,十二,once,doce,numeric_sequence,pending,
NeurIPS-RA-132,sequential,twelve,thirteen,十二,十三,doce,trece,numeric_sequence,pending,
NeurIPS-RA-133,sequential,thirteen,fourteen,十三,十四,trece,catorce,numeric_sequence,pending,
NeurIPS-RA-134,sequential,third,fourth,第三,第四,tercero,cuarto,ordinal_sequence,pending,
NeurIPS-RA-135,sequential,fourth,fifth,第四,第五,cuarto,quinto,ordinal_sequence,pending,
NeurIPS-RA-136,sequential,fifth,sixth,第五,第六,quinto,sexto,ordinal_sequence,pending,
NeurIPS-RA-137,sequential,sixth,seventh,第六,第七,sexto,séptimo,ordinal_sequence,pending,
NeurIPS-RA-138,sequential,Wednesday,Thursday,星期三,星期四,miércoles,jueves,day_sequence,pending,
NeurIPS-RA-139,sequential,Thursday,Friday,星期四,星期五,jueves,viernes,day_sequence,pending,
NeurIPS-RA-140,sequential,Friday,Saturday,星期五,星期六,viernes,sábado,day_sequence,pending,
NeurIPS-RA-141,sequential,Saturday,Sunday,星期六,星期日,sábado,domingo,day_sequence,pending,
NeurIPS-RA-142,sequential,March,April,三月,四月,marzo,abril,month_sequence,pending,
NeurIPS-RA-143,sequential,April,May,四月,五月,abril,mayo,month_sequence,pending,
NeurIPS-RA-144,sequential,May,June,五月,六月,mayo,junio,month_sequence,pending,
NeurIPS-RA-145,sequential,June,July,六月,七月,junio,julio,month_sequence,pending,
NeurIPS-RA-146,sequential,July,August,七月,八月,julio,agosto,month_sequence,pending,
NeurIPS-RA-147,sequential,August,September,八月,九月,agosto,septiembre,month_sequence,pending,
NeurIPS-RA-148,sequential,September,October,九月,十月,septiembre,octubre,month_sequence,pending,
NeurIPS-RA-149,sequential,October,November,十月,十一月,octubre,noviembre,month_sequence,pending,
NeurIPS-RA-150,sequential,November,December,十一月,十二月,noviembre,diciembre,month_sequence,pending,
NeurIPS-RA-151,sequential,autumn,winter,秋天,冬天,otoño,invierno,season_sequence,pending,
NeurIPS-RA-152,sequential,winter,spring,冬天,春天,invierno,primavera,season_sequence,pending,
NeurIPS-RA-153,sequential,million,billion,百万,十亿,millón,mil millones,magnitude_increase,pending,
NeurIPS-RA-154,sequential,past,present,过去,现在,pasado,presente,temporal_sequence,pending,
NeurIPS-RA-155,sequential,present,future,现在,未来,presente,futuro,temporal_sequence,pending,
