relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,word1_de,word2_de,word1_tr,word2_tr,relation_type,verified,notes
NeurIPS-RA-106,sequential,one,two,一,二,uno,dos,eins,zwei,bir,iki,numeric_sequence,pending,
NeurIPS-RA-107,sequential,two,three,二,三,dos,tres,zwei,drei,iki,üç,numeric_sequence,pending,
NeurIPS-RA-108,sequential,three,four,三,四,tres,cuatro,drei,vier,üç,dört,numeric_sequence,pending,
NeurIPS-RA-109,sequential,four,five,四,五,cuatro,cinco,vier,fünf,dört,beş,numeric_sequence,pending,
NeurIPS-RA-110,sequential,five,six,五,六,cinco,seis,fünf,sechs,beş,altı,numeric_sequence,pending,
NeurIPS-RA-111,sequential,ten,hundred,十,百,diez,cien,zehn,hundert,on,yüz,magnitude_increase,pending,
NeurIPS-RA-112,sequential,hundred,thousand,百,千,cien,mil,hundert,tausend,yüz,bin,magnitude_increase,pending,
NeurIPS-RA-113,sequential,thousand,million,千,百万,mil,millón,tausend,Million,bin,milyon,magnitude_increase,pending,
NeurIPS-RA-114,sequential,first,second,第一,第二,primero,segundo,erste,zweite,birinci,ikinci,ordinal_sequence,pending,
NeurIPS-RA-115,sequential,second,third,第二,第三,segundo,tercero,zweite,dritte,ikinci,üçüncü,ordinal_sequence,pending,
NeurIPS-RA-116,sequential,Monday,Tuesday,星期一,星期二,lunes,martes,Montag,Dienstag,pazartesi,salı,day_sequence,pending,
NeurIPS-RA-117,sequential,Tuesday,Wednesday,星期二,星期三,martes,miércoles,Dienstag,Mittwoch,salı,çarşamba,day_sequence,pending,
NeurIPS-RA-118,sequential,January,February,一月,二月,enero,febrero,Januar,Februar,ocak,şubat,month_sequence,pending,
NeurIPS-RA-119,sequential,February,March,二月,三月,febrero,marzo,Februar,März,şubat,mart,month_sequence,pending,
NeurIPS-RA-120,sequential,morning,afternoon,早上,下午,mañana,tarde,Morgen,Nachmittag,sabah,öğleden sonra,time_sequence,pending,
NeurIPS-RA-121,sequential,afternoon,evening,下午,晚上,tarde,noche,Nachmittag,Abend,öğleden sonra,akşam,time_sequence,pending,
NeurIPS-RA-122,sequential,spring,summer,春天,夏天,primavera,verano,Frühling,Sommer,ilkbahar,yaz,season_sequence,pending,
NeurIPS-RA-123,sequential,summer,autumn,夏天,秋天,verano,otoño,Sommer,Herbst,yaz,sonbahar,season_sequence,pending,
NeurIPS-RA-124,sequential,yesterday,today,昨天,今天,ayer,hoy,gestern,heute,dün,bugün,temporal_sequence,pending,
NeurIPS-RA-125,sequential,today,tomorrow,今天,明天,hoy,mañana,heute,morgen,bugün,yarın,temporal_sequence,pending,
NeurIPS-RA-126,sequential,six,seven,六,七,seis,siete,sechs,sieben,altı,yedi,numeric_sequence,pending,
NeurIPS-RA-127,sequential,seven,eight,七,八,siete,ocho,sieben,acht,yedi,sekiz,numeric_sequence,pending,
NeurIPS-RA-128,sequential,eight,nine,八,九,ocho,nueve,acht,neun,sekiz,dokuz,numeric_sequence,pending,
NeurIPS-RA-129,sequential,nine,ten,九,十,nueve,diez,neun,zehn,dokuz,on,numeric_sequence,pending,
NeurIPS-RA-130,sequential,ten,eleven,十,十一,diez,once,zehn,elf,on,on bir,numeric_sequence,pending,
NeurIPS-RA-131,sequential,eleven,twelve,十一,十二,once,doce,elf,zwölf,on bir,on iki,numeric_sequence,pending,
NeurIPS-RA-132,sequential,twelve,thirteen,十二,十三,doce,trece,zwölf,dreizehn,on iki,on üç,numeric_sequence,pending,
NeurIPS-RA-133,sequential,thirteen,fourteen,十三,十四,trece,catorce,dreizehn,vierzehn,on üç,on dört,numeric_sequence,pending,
NeurIPS-RA-134,sequential,third,fourth,第三,第四,tercero,cuarto,dritte,vierte,üçüncü,dördüncü,ordinal_sequence,pending,
NeurIPS-RA-135,sequential,fourth,fifth,第四,第五,cuarto,quinto,vierte,fünfte,dördüncü,beşinci,ordinal_sequence,pending,
NeurIPS-RA-136,sequential,fifth,sixth,第五,第六,quinto,sexto,fünfte,sechste,beşinci,altıncı,ordinal_sequence,pending,
NeurIPS-RA-137,sequential,sixth,seventh,第六,第七,sexto,séptimo,sechste,siebte,altıncı,yedinci,ordinal_sequence,pending,
NeurIPS-RA-138,sequential,Wednesday,Thursday,星期三,星期四,miércoles,jueves,Mittwoch,Donnerstag,çarşamba,perşembe,day_sequence,pending,
NeurIPS-RA-139,sequential,Thursday,Friday,星期四,星期五,jueves,viernes,Donnerstag,Freitag,perşembe,cuma,day_sequence,pending,
NeurIPS-RA-140,sequential,Friday,Saturday,星期五,星期六,viernes,sábado,Freitag,Samstag,cuma,cumartesi,day_sequence,pending,
NeurIPS-RA-141,sequential,Saturday,Sunday,星期六,星期日,sábado,domingo,Samstag,Sonntag,cumartesi,pazar,day_sequence,pending,
NeurIPS-RA-142,sequential,March,April,三月,四月,marzo,abril,März,April,mart,nisan,month_sequence,pending,
NeurIPS-RA-143,sequential,April,May,四月,五月,abril,mayo,April,Mai,nisan,mayıs,month_sequence,pending,
