relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-126,hierarchical,employee,employer,雇员,雇主,empleado,empleador,work_hierarchy,pending,
NeurIPS-RA-127,hierarchical,student,teacher,学生,老师,estudiante,maestro,education_hierarchy,pending,
NeurIPS-RA-128,hierarchical,apprentice,master,学徒,师傅,aprendiz,maestro,skill_hierarchy,pending,
NeurIPS-RA-129,hierarchical,soldier,general,士兵,将军,soldado,general,military_hierarchy,pending,
NeurIPS-RA-130,hierarchical,citizen,president,公民,总统,ciudadano,presidente,political_hierarchy,pending,
NeurIPS-RA-131,hierarchical,follower,leader,追随者,领导者,seguidor,líder,social_hierarchy,pending,
NeurIPS-RA-132,hierarchical,assistant,manager,助理,经理,asistente,gerente,corporate_hierarchy,pending,
NeurIPS-RA-133,hierarchical,player,coach,球员,教练,jugador,entrenador,sports_hierarchy,pending,
NeurIPS-RA-134,hierarchical,novice,expert,新手,专家,novato,experto,expertise_hierarchy,pending,
NeurIPS-RA-135,hierarchical,child,parent,孩子,父母,niño,padre,family_hierarchy,pending,
NeurIPS-RA-136,hierarchical,parishioner,priest,教徒,牧师,feligrés,sacerdote,religious_hierarchy,pending,
NeurIPS-RA-137,hierarchical,subject,ruler,臣民,统治者,súbdito,gobernante,power_hierarchy,pending,
NeurIPS-RA-138,hierarchical,servant,lord,仆人,主人,sirviente,señor,feudal_hierarchy,pending,
NeurIPS-RA-139,hierarchical,intern,supervisor,实习生,主管,pasante,supervisor,training_hierarchy,pending,
NeurIPS-RA-140,hierarchical,clerk,judge,书记员,法官,secretario,juez,judicial_hierarchy,pending,
NeurIPS-RA-141,hierarchical,sailor,captain,水手,船长,marinero,capitán,naval_hierarchy,pending,
NeurIPS-RA-142,hierarchical,actor,director,演员,导演,actor,director,creative_hierarchy,pending,
NeurIPS-RA-143,hierarchical,voter,senator,选民,参议员,votante,senador,democratic_hierarchy,pending,
NeurIPS-RA-144,hierarchical,resident,mayor,居民,市长,residente,alcalde,municipal_hierarchy,pending,
NeurIPS-RA-145,hierarchical,fan,celebrity,粉丝,名人,fanático,celebridad,fame_hierarchy,pending,
