relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-166,size_scale,small,large,小,大,pequeño,grande,size_pair,pending,
NeurIPS-RA-167,size_scale,tiny,huge,极小,巨大,diminuto,enorme,size_pair,pending,
NeurIPS-RA-168,size_scale,narrow,wide,窄,宽,estrecho,ancho,dimension_pair,pending,
NeurIPS-RA-169,size_scale,shallow,deep,浅,深,poco profundo,profundo,dimension_pair,pending,
NeurIPS-RA-170,size_scale,short,tall,矮,高,bajo,alto,height_pair,pending,
NeurIPS-RA-171,size_scale,thin,thick,薄,厚,delgado,grueso,thickness_pair,pending,
NeurIPS-RA-172,size_scale,light,heavy,轻,重,ligero,pesado,weight_pair,pending,
NeurIPS-RA-173,size_scale,few,many,少,多,pocos,muchos,quantity_pair,pending,
NeurIPS-RA-174,size_scale,weak,strong,弱,强,débil,fuerte,intensity_pair,pending,
NeurIPS-RA-175,size_scale,soft,loud,轻声,大声,suave,fuerte,volume_pair,pending,
NeurIPS-RA-176,size_scale,dim,bright,昏暗,明亮,tenue,brillante,brightness_pair,pending,
NeurIPS-RA-177,size_scale,cold,hot,冷,热,frío,caliente,temperature_pair,pending,
NeurIPS-RA-178,size_scale,slow,fast,慢,快,lento,rápido,speed_pair,pending,
NeurIPS-RA-179,size_scale,near,far,近,远,cerca,lejos,distance_pair,pending,
NeurIPS-RA-180,size_scale,young,old,年轻,年老,joven,viejo,age_pair,pending,
NeurIPS-RA-181,size_scale,cheap,expensive,便宜,昂贵,barato,caro,price_pair,pending,
NeurIPS-RA-182,size_scale,easy,difficult,容易,困难,fácil,difícil,difficulty_pair,pending,
NeurIPS-RA-183,size_scale,rare,common,稀有,常见,raro,común,frequency_pair,pending,
NeurIPS-RA-184,size_scale,poor,rich,贫穷,富有,pobre,rico,wealth_pair,pending,
NeurIPS-RA-185,size_scale,simple,complex,简单,复杂,simple,complejo,complexity_pair,pending,
