relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-166,size_scale,small,large,小,大,pequeño,grande,size_pair,pending,
NeurIPS-RA-167,size_scale,tiny,huge,极小,巨大,diminuto,enorme,size_pair,pending,
NeurIPS-RA-168,size_scale,narrow,wide,窄,宽,estrecho,ancho,dimension_pair,pending,
NeurIPS-RA-169,size_scale,shallow,deep,浅,深,poco profundo,profundo,dimension_pair,pending,
NeurIPS-RA-170,size_scale,short,tall,矮,高,bajo,alto,height_pair,pending,
NeurIPS-RA-171,size_scale,thin,thick,薄,厚,delgado,grueso,thickness_pair,pending,
NeurIPS-RA-172,size_scale,light,heavy,轻,重,ligero,pesado,weight_pair,pending,
NeurIPS-RA-173,size_scale,few,many,少,多,pocos,muchos,quantity_pair,pending,
NeurIPS-RA-174,size_scale,weak,strong,弱,强,débil,fuerte,intensity_pair,pending,
NeurIPS-RA-175,size_scale,soft,loud,轻声,大声,suave,fuerte,volume_pair,pending,
NeurIPS-RA-176,size_scale,dim,bright,昏暗,明亮,tenue,brillante,brightness_pair,pending,
NeurIPS-RA-177,size_scale,cold,hot,冷,热,frío,caliente,temperature_pair,pending,
NeurIPS-RA-178,size_scale,slow,fast,慢,快,lento,rápido,speed_pair,pending,
NeurIPS-RA-179,size_scale,near,far,近,远,cerca,lejos,distance_pair,pending,
NeurIPS-RA-180,size_scale,young,old,年轻,年老,joven,viejo,age_pair,pending,
NeurIPS-RA-181,size_scale,cheap,expensive,便宜,昂贵,barato,caro,price_pair,pending,
NeurIPS-RA-182,size_scale,easy,difficult,容易,困难,fácil,difícil,difficulty_pair,pending,
NeurIPS-RA-183,size_scale,rare,common,稀有,常见,raro,común,frequency_pair,pending,
NeurIPS-RA-184,size_scale,poor,rich,贫穷,富有,pobre,rico,wealth_pair,pending,
NeurIPS-RA-185,size_scale,simple,complex,简单,复杂,simple,complejo,complexity_pair,pending,
NeurIPS-RA-186,size_scale,low,high,低,高,bajo,alto,height_pair,pending,
NeurIPS-RA-187,size_scale,brief,long,简短,长,breve,largo,duration_pair,pending,
NeurIPS-RA-188,size_scale,narrow,broad,狭窄,广阔,estrecho,amplio,width_pair,pending,
NeurIPS-RA-189,size_scale,minor,major,次要,主要,menor,mayor,importance_pair,pending,
NeurIPS-RA-190,size_scale,local,global,局部,全局,local,global,scope_pair,pending,
NeurIPS-RA-191,size_scale,micro,macro,微观,宏观,micro,macro,scale_pair,pending,
NeurIPS-RA-192,size_scale,finite,infinite,有限,无限,finito,infinito,magnitude_pair,pending,
NeurIPS-RA-193,size_scale,scarce,abundant,稀缺,丰富,escaso,abundante,quantity_pair,pending,
NeurIPS-RA-194,size_scale,mild,intense,温和,强烈,suave,intenso,intensity_pair,pending,
NeurIPS-RA-195,size_scale,pale,vivid,苍白,鲜艳,pálido,vívido,color_intensity_pair,pending,
NeurIPS-RA-196,size_scale,faint,strong,微弱,强烈,débil,fuerte,strength_pair,pending,
NeurIPS-RA-197,size_scale,sparse,dense,稀疏,密集,disperso,denso,density_pair,pending,
NeurIPS-RA-198,size_scale,meager,plentiful,贫乏,丰富,escaso,abundante,amount_pair,pending,
NeurIPS-RA-199,size_scale,negligible,significant,微不足道,重要,insignificante,significativo,importance_pair,pending,
NeurIPS-RA-200,size_scale,minimal,maximal,最小,最大,mínimo,máximo,extrema_pair,pending,
NeurIPS-RA-201,size_scale,shallow,profound,肤浅,深刻,superficial,profundo,depth_pair,pending,
NeurIPS-RA-202,size_scale,petty,grand,琐碎,宏大,mezquino,grandioso,scale_pair,pending,
NeurIPS-RA-203,size_scale,trivial,crucial,琐碎,关键,trivial,crucial,significance_pair,pending,
NeurIPS-RA-204,size_scale,gentle,fierce,温和,凶猛,gentil,feroz,intensity_pair,pending,
NeurIPS-RA-205,size_scale,tame,wild,温顺,野性,manso,salvaje,temperament_pair,pending,
NeurIPS-RA-206,size_scale,modest,extravagant,适度,奢侈,modesto,extravagante,degree_pair,pending,
NeurIPS-RA-207,size_scale,gradual,abrupt,渐进,突然,gradual,abrupto,rate_pair,pending,
NeurIPS-RA-208,size_scale,partial,complete,部分,完整,parcial,completo,completeness_pair,pending,
NeurIPS-RA-209,size_scale,specific,general,具体,一般,específico,general,specificity_pair,pending,
NeurIPS-RA-210,size_scale,narrow,wide,狭隘,宽广,estrecho,amplio,scope_pair,pending,
NeurIPS-RA-211,size_scale,tight,loose,紧,松,apretado,suelto,tightness_pair,pending,
NeurIPS-RA-212,size_scale,rigid,flexible,刚性,灵活,rígido,flexible,flexibility_pair,pending,
NeurIPS-RA-213,size_scale,fragile,robust,脆弱,坚固,frágil,robusto,durability_pair,pending,
NeurIPS-RA-214,size_scale,shallow,deep,浅薄,深邃,superficial,profundo,intellectual_depth_pair,pending,
NeurIPS-RA-215,size_scale,plain,ornate,朴素,华丽,sencillo,ornamentado,decoration_pair,pending,
