word,domain,type,note
生,animals,elemental-character,life
鼠,animals,elemental-character,mouse
牛,animals,elemental-character,ox
虎,animals,elemental-character,tiger
兔,animals,elemental-character,rabbit
龙,animals,elemental-character,dragon
蛇,animals,elemental-character,snake
马,animals,elemental-character,horse
羊,animals,elemental-character,sheep
猴,animals,elemental-character,monkey
鸡,animals,elemental-character,rooster
狗,animals,elemental-character,dog
猪,animals,elemental-character,pig
虫,animals,elemental-character,insect
鸟,animals,elemental-character,bird
零,numbers,elemental-character,one
一,numbers,elemental-character,two
二,numbers,elemental-character,three
三,numbers,elemental-character,four
四,numbers,elemental-character,five
五,numbers,elemental-character,six
六,numbers,elemental-character,seven
七,numbers,elemental-character,eight
八,numbers,elemental-character,nine
九,numbers,elemental-character,ten
十,numbers,elemental-character,hundred
百,numbers,elemental-character,thousand
千,numbers,elemental-character,ten-thousand
万,numbers,elemental-character,hundred-million
亿,numbers,elemental-character,zero
一,measurements,elemental-character,one
二,measurements,elemental-character,two
三,measurements,elemental-character,three
四,measurements,elemental-character,four
五,measurements,elemental-character,five
六,measurements,elemental-character,six
七,measurements,elemental-character,seven
八,measurements,elemental-character,eight
九,measurements,elemental-character,nine
十,measurements,elemental-character,ten
百,measurements,elemental-character,hundred
千,measurements,elemental-character,thousand
万,measurements,elemental-character,ten-thousand
亿,measurements,elemental-character,hundred-million
零,measurements,elemental-character,zero
秒,measurements,elemental-character,second
分,measurements,elemental-character,minute
时,measurements,elemental-character,hour
寸,measurements,elemental-character,inch
丈,measurements,elemental-character,zhang-measure
里,measurements,elemental-character,li-distance
心,human,elemental-character,heart
忄,human,elemental-character,heart-radical
头,human,elemental-character,head
首,human,elemental-character,head-first
面,human,elemental-character,face
口,human,elemental-character,mouth
目,human,elemental-character,eye
眉,human,elemental-character,eyebrow
鼻,human,elemental-character,nose
耳,human,elemental-character,ear
舌,human,elemental-character,tongue
牙,human,elemental-character,tooth
齿,human,elemental-character,teeth
手,human,elemental-character,hand
扌,human,elemental-character,hand-radical
又,human,elemental-character,again
足,human,elemental-character,foot
血,human,elemental-character,blood
肉,human,elemental-character,meat
身,human,elemental-character,body
尸,human,elemental-character,corpse-radical
骨,human,elemental-character,bone
皮,human,elemental-character,skin
毛,human,elemental-character,hair
彡,human,elemental-character,hair-radical
言,human,elemental-character,speech
讠,human,elemental-character,speech-radical
看,human,elemental-character,see
听,human,elemental-character,hear
思,human,elemental-character,think
食,human,elemental-character,food
饣,human,elemental-character,food-radical
走,human,elemental-character,walk
辶,human,elemental-character,walk-radical
立,human,elemental-character,stand
男,human,elemental-character,male
女,human,elemental-character,female
子,human,elemental-character,child
自,human,elemental-character,self
己,human,elemental-character,oneself
日,elements,elemental-character,sun
月,elements,elemental-character,moon
天,elements,elemental-character,heaven
地,elements,elemental-character,earth
人,elements,elemental-character,human
金,elements,elemental-character,gold
木,elements,elemental-character,wood
水,elements,elemental-character,water
火,elements,elemental-character,fire
土,elements,elemental-character,earth-soil
东,dimensions,elemental-character,east
南,dimensions,elemental-character,south
西,dimensions,elemental-character,west
北,dimensions,elemental-character,north
春,dimensions,elemental-character,spring
夏,dimensions,elemental-character,summer
秋,dimensions,elemental-character,autumn
冬,dimensions,elemental-character,winter
