word,domain,type,note
life,animals,elemental-character,生
mouse,animals,elemental-character,鼠
ox,animals,elemental-character,牛
tiger,animals,elemental-character,虎
rabbit,animals,elemental-character,兔
dragon,animals,elemental-character,龙
snake,animals,elemental-character,蛇
horse,animals,elemental-character,马
sheep,animals,elemental-character,羊
monkey,animals,elemental-character,猴
rooster,animals,elemental-character,鸡
dog,animals,elemental-character,狗
pig,animals,elemental-character,猪
insect,animals,elemental-character,虫
bird,animals,elemental-character,鸟
one,numbers,elemental-character,零
two,numbers,elemental-character,一
three,numbers,elemental-character,二
four,numbers,elemental-character,三
five,numbers,elemental-character,四
six,numbers,elemental-character,五
seven,numbers,elemental-character,六
eight,numbers,elemental-character,七
nine,numbers,elemental-character,八
ten,numbers,elemental-character,九
hundred,numbers,elemental-character,十
thousand,numbers,elemental-character,百
ten-thousand,numbers,elemental-character,千
hundred-million,numbers,elemental-character,万
zero,numbers,elemental-character,亿
one,measurements,elemental-character,一
two,measurements,elemental-character,二
three,measurements,elemental-character,三
four,measurements,elemental-character,四
five,measurements,elemental-character,五
six,measurements,elemental-character,六
seven,measurements,elemental-character,七
eight,measurements,elemental-character,八
nine,measurements,elemental-character,九
ten,measurements,elemental-character,十
hundred,measurements,elemental-character,百
thousand,measurements,elemental-character,千
ten-thousand,measurements,elemental-character,万
hundred-million,measurements,elemental-character,亿
zero,measurements,elemental-character,零
second,measurements,elemental-character,秒
minute,measurements,elemental-character,分
hour,measurements,elemental-character,时
inch,measurements,elemental-character,寸
zhang-measure,measurements,elemental-character,丈
li-distance,measurements,elemental-character,里
heart,human,elemental-character,心
heart-radical,human,elemental-character,忄
head,human,elemental-character,头
head-first,human,elemental-character,首
face,human,elemental-character,面
mouth,human,elemental-character,口
eye,human,elemental-character,目
eyebrow,human,elemental-character,眉
nose,human,elemental-character,鼻
ear,human,elemental-character,耳
tongue,human,elemental-character,舌
tooth,human,elemental-character,牙
teeth,human,elemental-character,齿
hand,human,elemental-character,手
hand-radical,human,elemental-character,扌
again,human,elemental-character,又
foot,human,elemental-character,足
blood,human,elemental-character,血
meat,human,elemental-character,肉
body,human,elemental-character,身
corpse-radical,human,elemental-character,尸
bone,human,elemental-character,骨
skin,human,elemental-character,皮
hair,human,elemental-character,毛
hair-radical,human,elemental-character,彡
speech,human,elemental-character,言
speech-radical,human,elemental-character,讠
see,human,elemental-character,看
hear,human,elemental-character,听
think,human,elemental-character,思
food,human,elemental-character,食
food-radical,human,elemental-character,饣
walk,human,elemental-character,走
walk-radical,human,elemental-character,辶
stand,human,elemental-character,立
male,human,elemental-character,男
female,human,elemental-character,女
child,human,elemental-character,子
self,human,elemental-character,自
oneself,human,elemental-character,己
sun,elements,elemental-character,日
moon,elements,elemental-character,月
heaven,elements,elemental-character,天
earth,elements,elemental-character,地
human,elements,elemental-character,人
gold,elements,elemental-character,金
wood,elements,elemental-character,木
water,elements,elemental-character,水
fire,elements,elemental-character,火
earth-soil,elements,elemental-character,土
east,dimensions,elemental-character,东
south,dimensions,elemental-character,南
west,dimensions,elemental-character,西
north,dimensions,elemental-character,北
spring,dimensions,elemental-character,春
summer,dimensions,elemental-character,夏
autumn,dimensions,elemental-character,秋
winter,dimensions,elemental-character,冬
