word,domain,type
孔子,person,ancient_philosopher
老子,person,ancient_philosopher
舍利子,person,religious_figure
墨子,person,ancient_philosopher
庄子,person,ancient_philosopher
孟子,person,ancient_philosopher
孙子,person,military_strategist
韩非子,person,ancient_philosopher
朱子,person,ancient_philosopher
弟子,social,hierarchical_academic
君子,social,hierarchical_moral
小子,social,hierarchical_informal
天子,social,hierarchical_imperial
王子,social,hierarchical_imperial
太子,social,hierarchical_imperial
妃子,social,hierarchical_imperial
臣子,social,hierarchical_imperial
娘子,social,hierarchical_familial
汉子,social,hierarchical_informal
瞎子,slang,descriptive_physical
聋子,slang,descriptive_physical
瘸子,slang,descriptive_physical
胖子,slang,descriptive_physical
瘦子,slang,descriptive_physical
孩子,social,hierarchical_familial
子女,social,hierarchical_familial
子孙,social,hierarchical_familial
父子,social,hierarchical_familial
母子,social,hierarchical_familial
男子,social,hierarchical_gender
女子,social,hierarchical_gender
原子,physics,fundamental_particle
分子,physics,molecular_structure
离子,physics,charged_particle
核子,physics,nuclear_particle
质子,physics,fundamental_particle
中子,physics,fundamental_particle
电子,physics,fundamental_particle
量子,physics,quantum_particle
光子,physics,fundamental_particle
粒子,physics,fundamental_particle
胶子,physics,fundamental_particle
夸克子,physics,fundamental_particle
玻色子,physics,quantum_particle
费米子,physics,quantum_particle
等离子,physics,plasma_state
声子,physics,quantum_particle
孢子,biology,biological_particle
种子,biology,biological_particle
精子,biology,biological_particle
卵子,biology,biological_particle
鼻子,body_parts,anatomical_colloquial
脑子,body_parts,anatomical_colloquial
肚子,body_parts,anatomical_colloquial
脖子,body_parts,anatomical_colloquial
胡子,body_parts,anatomical_colloquial
嗓子,body_parts,anatomical_colloquial
腰子,body_parts,anatomical_colloquial
眸子,body_parts,anatomical_colloquial
狮子,animal,animal_creature
兔子,animal,animal_creature
蚊子,animal,animal_creature
虫子,animal,animal_creature
鸽子,animal,animal_creature
猴子,animal,animal_creature
燕子,animal,animal_creature
蝎子,animal,animal_creature
屋子,object,household_space
房子,object,household_space
桌子,object,household_furniture
椅子,object,household_furniture
凳子,object,household_furniture
箱子,object,household_container
盒子,object,household_container
盘子,object,household_utensil
杯子,object,household_utensil
瓶子,object,household_container
盖子,object,household_accessory
刷子,object,household_tool
刀子,object,household_tool
勺子,object,household_utensil
筷子,object,household_utensil
梯子,object,household_tool
扇子,object,household_accessory
鞭子,object,household_tool
轮子,object,mechanical_component
日子,temporal,temporal_marker
子时,temporal,temporal_marker
甲子,temporal,temporal_marker
辈子,temporal,temporal_marker
性子,abstract,personality_trait
面子,abstract,social_concept
圈子,abstract,social_concept
调子,abstract,cultural_concept
子集,mathematics,mathematical_term
子群,mathematics,mathematical_term
子空间,mathematics,mathematical_term
子序列,mathematics,mathematical_term
子程序,mathematics,computational_term
因子,mathematics,mathematical_term
棋子,object,game_piece
骰子,object,game_piece
毽子,object,game_piece
笛子,object,musical_instrument
曲子,abstract,cultural_concept
骗子,slang,descriptive_character
傻子,slang,descriptive_character
呆子,slang,descriptive_character
疯子,slang,descriptive_character
痞子,slang,descriptive_character
婊子,slang,descriptive_character
鬼子,slang,descriptive_derogatory
洋鬼子,slang,descriptive_derogatory
日本鬼子,slang,descriptive_derogatory
毛子,slang,descriptive_derogatory
孽子,slang,descriptive_character
一份子,social,collective_member
瓜子,food,agricultural_food
柿子,food,agricultural_food
橘子,food,agricultural_food
茄子,food,agricultural_food
豆子,food,agricultural_food
毛栗子,food,agricultural_food
